Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734562901;Polyester;RFI X/Y;Axial;560nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735632000;Polyester;RFI X/Y;Axial;56nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733562901;Polyester;RFI X/Y;Axial;56nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733562000;Polyester;RFI X/Y;Axial;56nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735632901;Polyester;RFI X/Y;Axial;56nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733562900;Polyester;RFI X/Y;Axial;56nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735632900;Polyester;RFI X/Y;Axial;56nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734682901;Polyester;RFI X/Y;Axial;680nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734682000;Polyester;RFI X/Y;Axial;680nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734682900;Polyester;RFI X/Y;Axial;680nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733682900;Polyester;RFI X/Y;Axial;68nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733682901;Polyester;RFI X/Y;Axial;68nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733682000;Polyester;RFI X/Y;Axial;68nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734822901;Polyester;RFI X/Y;Axial;820nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734822000;Polyester;RFI X/Y;Axial;820nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734822900;Polyester;RFI X/Y;Axial;820nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17738232000;Polyester;RFI X/Y;Axial;82nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17738232900;Polyester;RFI X/Y;Axial;82nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733822000;Polyester;RFI X/Y;Axial;82nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733822901;Polyester;RFI X/Y;Axial;82nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17738232901;Polyester;RFI X/Y;Axial;82nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733822900;Polyester;RFI X/Y;Axial;82nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
