Series;Type(V);Display Format;mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);Duty;Built-In Controller;Yellow;Green;Red;Blue;White;Image path;Datasheet part;3d model part
OLED-020N002B-LPP5N00000;character;20 x 2 characters;180.0 x 40.0 x 10.0 (max.);149.0 x 23.0;6.0 x 9.66;1.12 x 1.12;1.22 x 1.22;1/16;OLED-0010;Yes;-;-;-;-;37805;Datasheet/displays/OLED-020N002B-LPP5N00000\OLED-020N002B-LPP5N00000.pdf;None
OLED-020N002B-SPP5N00000;character;20 x 2 characters;180.0 x 40.0 x 9.3 (max.);149.0 x 23.0;6.0 x 9.66;1.12 x 1.12;1.22 x 1.22;1/16;OLED-0010;-;-;-;Yes;-;37806;Datasheet/displays/OLED-020N002B-SPP5N00000\OLED-020N002B-SPP5N00000.pdf;None
OLED-020N002B-WPP5N00000;character;20 x 2 characters;180.0 x 40.0 x 9.3 (max.);149.0 x 23.0;6.0 x 9.66;1.12 x 1.12;1.22 x 1.22;1/16;OLED-0010;-;-;-;-;Yes;37807;Datasheet/displays/OLED-020N002B-WPP5N00000\OLED-020N002B-WPP5N00000.pdf;None
OLED-020N004A-BPP5N00000;character;20 x 4 characters;98.0 x 60.0 x 10.0 (max.);70.0 x 25.2;2.90 x 4.75;0.54 x 0.55;0.60 x 0.59;1/16;OLED-0010;-;-;-;Yes;-;37808;Datasheet/displays/OLED-020N004A-BPP5N00000\OLED-020N004A-BPP5N00000.pdf;None
OLED-020N004A-GPP5N00000;character;20 x 4 characters;98.0 x 60.0 x 10.0 (max.);77.0 x 25.2;2.9 x 4.75;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;-;Yes;-;-;-;37809;Datasheet/displays/OLED-020N004A-GPP5N00000\OLED-020N004A-GPP5N00000.pdf;None
OLED-020N004A-LPP5N00000;character;20 x 4 characters;98.0 x 60.0 x 10.0 (max.);77.0 x 25.2;2.9 x 4.75;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;Yes;-;-;-;-;37810;Datasheet/displays/OLED-020N004A-LPP5N00000\OLED-020N004A-LPP5N00000.pdf;None
OLED-020N004A-WPP5N00000;character;20 x 4 characters;98.0 x 60.0 x 10.0 (max.);77.0 x 25.2;2.9 x 4.75;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;-;-;-;-;Yes;37812;Datasheet/displays/OLED-020N004A-WPP5N00000\OLED-020N004A-WPP5N00000.pdf;None
OLED-020N004B;Character;20 x 4 characters;98.0 x 60.0 x 10.0 (max.);70.0 x 25.2;2.9 x 4.75;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;Y;Y;Y;-;-;37706;Datasheet/displays/OLED-020N004B\OLED-020N004B.pdf;None
OLED-020N004B-BPP5N00000;character;20 x 4 characters;98.0 x 60.0 x 10.0 (max.);77.0 x 25.2;2.90 x 4.75;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;-;-;-;Yes;-;37813;Datasheet/displays/OLED-020N004B-BPP5N00000\OLED-020N004B-BPP5N00000.pdf;None
OLED-020N004B-GPP5N00000;character;20 x 4 characters;98.0 x 60.0 x 10.0 (max.);77.0 x 25.2;2.9 x 4.75;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;-;Yes;-;-;-;37814;Datasheet/displays/OLED-020N004B-GPP5N00000\OLED-020N004B-GPP5N00000.pdf;None
OLED-020N004B-LPP5N00000;character;20 x 4 characters;98.0 x 60.0 x 10.0 (max.);77.0 x 25.2;2.9 x 4.75;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;Yes;-;-;-;-;37815;Datasheet/displays/OLED-020N004B-LPP5N00000\OLED-020N004B-LPP5N00000.pdf;None
OLED-020N004B-WPP5N00000;character;20 x 4 characters;98.0 x 60.0 x 10.0 (max.);77.0 x 25.2;2.9 x 4.75;0.54 x 0.55;0.59 x 0.60;1/16;OLED-0010;-;-;-;-;Yes;37817;Datasheet/displays/OLED-020N004B-WPP5N00000\OLED-020N004B-WPP5N00000.pdf;None
OLED-020O002A-LPP5N00000;character;20 x 2 characters;84.5 x 19.28 x 2.17;75.52 x 13.52;3.22 x 5.57;0.62 x 0.67;0.65 x 0.70;1/16;SSD1311;Yes;-;-;-;-;37818;Datasheet/displays/OLED-020O002A-LPP5N00000\OLED-020O002A-LPP5N00000.pdf;None
OLED-020O004C-LPP5N00000;character;20 x 2 characters;84.5 x 27.5 x 2.17;72.42 x 22.82;2.97 x 4.77;0.57 x 0.57;0.60 x 0.60;1/32;SSD1311;Yes;-;-;-;-;37819;Datasheet/displays/OLED-020O004C-LPP5N00000\OLED-020O004C-LPP5N00000.pdf;None
OLED-040N002A-GPP5N00000;character;40 x 2 characters;182.0 x 38.5 x 9.3 (max.);154.4 x 16.5;3.05 x 5.55;0.57 x 0.65;0.62 x 0.70;1/16;OLED-0010;-;Yes;-;-;-;37820;Datasheet/displays/OLED-040N002A-GPP5N00000\OLED-040N002A-GPP5N00000.pdf;None
OLED-040N002A-LPP5N00000;character;40 x 2 characters;182.0 x 38.5 x 9.3 (max.);154.4 x 16.5;3.05 x 5.55;0.57 x 0.65;0.62 x 0.70;1/16;OLED-0010;Yes;-;-;-;-;37821;Datasheet/displays/OLED-040N002A-LPP5N00000\OLED-040N002A-LPP5N00000.pdf;None
OLED-040N002A-SPP5N00000;character;40 x 2 characters;182.0 x 38.5 x 9.3 (max.);154.4 x 16.5;3.05 x 5.55;0.57 x 0.65;0.62 x 0.70;1/16;OLED-0010;-;-;-;Yes;-;37822;Datasheet/displays/OLED-040N002A-SPP5N00000\OLED-040N002A-SPP5N00000.pdf;None
OLED-040N002A-WPP5N00000;character;40 x 2 characters;182.0 x 38.5 x 9.3 (max.);154.4 x 16.5;3.05 x 5.55;0.57 x 0.65;0.62 x 0.70;1/16;OLED-0010;-;-;-;-;Yes;37823;Datasheet/displays/OLED-040N002A-WPP5N00000\OLED-040N002A-WPP5N00000.pdf;None
