Part Number;Configuration;SingleSupplyMin.;SingleSupplyMax.;DualSupplyMin.;DualSupplyMax.;On-Resistance(Ω);Is(off)Max.;tonMax.;QINJTyp.;XTALK&OIRR;Package;CS(on)(pF);CS(off)(pF);-3 dBBandwidth(MHz);Image path;Datasheet part;3d model part
DG613E;SPST x 4, comp;3;16;3;8;72;0.1;50;1.4;-59;miniQFN-16 (0.55 mm);7;3;1000;78910;Datasheet/analog-switches/DG613E/DG613E.pdf;None
DG613E;SPST x 4, comp;3;16;3;8;72;0.1;50;1.4;-59;TSSOP-16;7;3;1000;78910;Datasheet/analog-switches/DG613E/DG613E.pdf;None
DG613E;SPST x 4, comp;3;16;3;8;72;0.1;50;1.4;-59;SO-16 (narrow) AS;7;3;1000;78910;Datasheet/analog-switches/DG613E/DG613E.pdf;None
DG636E;SPDT x 2;3;16;3;8;63;18;46;-0.33;-63;miniQFN-16 (0.55mm);8.4;3.7;700;75621;Datasheet/analog-switches/DG636E/DG636E.pdf;None
DG636E;SPDT x 2;3;16;3;8;63;18;46;-0.33;-63;TSSOP-14;8.4;3.7;700;75621;Datasheet/analog-switches/DG636E/DG636E.pdf;None
DG9232E;SPST x 2, NC;2.7;5;;;17;;120;2;-80;MSOP-8;;4;;75165;Datasheet/analog-switches/DG9232E/DG9232E.pdf;None
DG9232E;SPST x 2, NC;2.7;5;;;17;;120;2;-80;SO-8 (Narrow) AS;;4;;75165;Datasheet/analog-switches/DG9232E/DG9232E.pdf;None
DG9233E;SPST x 2, NC;2.7;5;;;17;;120;2;-80;SO-8 (Narrow) AS;;4;;75165;Datasheet/analog-switches/DG9233E/DG9233E.pdf;None
DG9234E;SPST x 2, NC;2.7;5;;;17;;120;2;-80;MSOP-8;;4;;75165;Datasheet/analog-switches/DG9234E/DG9234E.pdf;None
DG9408E;8:1 x 1;3;16;3;8;3.2;2;70;4.5;-83;QFN-16 4x4;;17;0;75375;Datasheet/analog-switches/DG9408E/DG9408E.pdf;None
DG9409E;4:1 x 2;3;16;3;8;3.2;2;70;4.5;-83;QFN-16 4x4;;16;0;75375;Datasheet/analog-switches/DG9409E/DG9409E.pdf;None
DG9411E;SPDT x 1;1.8;5.5;;;6;1.5;30;1;-77;SC-70-6;13;7;;76294;Datasheet/analog-switches/DG9411E/DG9411E.pdf;None
