Part Number;Package;Color;Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm);Luminous Intensity IVMin.(mcd);Luminous Intensity IVTyp.(mcd);Luminous Intensity IVMax.(mcd);IFforIV(mA);Luminous Flux ΦVMin.(mIm);Luminous Flux ΦVTyp.(mIm);Luminous Flux ΦVMax.(mIm);IFforΦV(mA);Forward Voltage, VFTyp.(V);Forward Voltage, VFMax.(V);Angle of Half Intensity(± °);Key Feature;Image path;Datasheet part;3d model part
VLDK1535G;SMD dome lens;Amber;611;616;621;4500;8000;14000;50;;;;;2.25;2.7;22;Power;84876;Datasheet/leds/VLDK1535G\VLDK1535G.pdf;Datasheet/leds/VLDK1535G\VLDK1535G.zip
VLDK1535R;SMD dome lens;Amber;611;616;621;4500;8000;14000;50;;;;;2.25;2.7;22;Power;84876;Datasheet/leds/VLDK1535R\VLDK1535R.pdf;Datasheet/leds/VLDK1535R\VLDK1535R.zip
VLDR1235G;SMD dome lens;Red;619;624;631;9000;14500;35500;50;;;;;2.2;2.7;11;Power;84280;Datasheet/leds/VLDR1235G\VLDR1235G.pdf;Datasheet/leds/VLDR1235G\VLDR1235G.zip
VLDR1235R;SMD dome lens;Red;619;624;631;9000;14500;35500;50;;;;;2.2;2.7;11;Power;84280;Datasheet/leds/VLDR1235R\VLDR1235R.pdf;Datasheet/leds/VLDR1235R\VLDR1235R.zip
VLDR1535G;SMD dome lens;Red;619;624;631;3550;6500;11200;50;;;;;2.2;2.7;22;Power;84876;Datasheet/leds/VLDR1535G\VLDR1535G.pdf;Datasheet/leds/VLDR1535G\VLDR1535G.zip
VLDR1535R;SMD dome lens;Red;619;624;631;3550;6500;11200;50;;;;;2.2;2.7;22;Power;84876;Datasheet/leds/VLDR1535R\VLDR1535R.pdf;Datasheet/leds/VLDR1535R\VLDR1535R.zip
VLDS1235G;SMD dome lens;Super red;626;630;637;5600;11000;22400;50;;;;;2.2;2.7;11;Power;84280;Datasheet/leds/VLDS1235G\VLDS1235G.pdf;Datasheet/leds/VLDS1235G\VLDS1235G.zip
VLDS1235R;SMD dome lens;Super red;626;630;637;5600;11000;22400;50;;;;;2.2;2.7;11;Power;84280;Datasheet/leds/VLDS1235R\VLDS1235R.pdf;Datasheet/leds/VLDS1235R\VLDS1235R.zip
VLDS1535G;SMD dome lens;Super red;626;630;637;2800;5000;9000;50;;;;;2.2;2.7;22;Power;84876;Datasheet/leds/VLDS1535G\VLDS1535G.pdf;Datasheet/leds/VLDS1535G\VLDS1535G.zip
VLDS1535R;SMD dome lens;Super red;626;630;637;2800;5000;9000;50;;;;;2.2;2.7;22;Power;84876;Datasheet/leds/VLDS1535R\VLDS1535R.pdf;Datasheet/leds/VLDS1535R\VLDS1535R.zip
