Part Number;Product Image;Voltage;Capacitance;Dielectric;Lead Spacing(mm/inch);Lead Style;Packaging;Image path;Datasheet part;3d model part
PA0200WJ20238BJ1;Enlarge;14000;2000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WJ20238BJ1\PA0200WJ20238BJ1.pdf;Datasheet\capacitors\PA0200WJ20238BJ1\PA0200WJ20238BJ1.zip
PA0200WJ25238BJ1;Enlarge;14000;2500;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WJ25238BJ1\PA0200WJ25238BJ1.pdf;Datasheet\capacitors\PA0200WJ25238BJ1\PA0200WJ25238BJ1.zip
PA0200WJ30138BF1;Enlarge;14000;300;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WJ30138BF1\PA0200WJ30138BF1.pdf;Datasheet\capacitors\PA0200WJ30138BF1\PA0200WJ30138BF1.zip
PA0200WJ30238BJ1;Enlarge;14000;3000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WJ30238BJ1\PA0200WJ30238BJ1.pdf;Datasheet\capacitors\PA0200WJ30238BJ1\PA0200WJ30238BJ1.zip
PAZ057WJ12P036BF1;Enlarge;14000;12;R7;NA;NA;Individual;image\capacitors\22139.png;Datasheet\capacitors\PAZ057WJ12P036BF1\PAZ057WJ12P036BF1.pdf;None
PAZ057WJ17P036BF1;Enlarge;14000;17;R7;NA;NA;Individual;image\capacitors\22139.png;Datasheet\capacitors\PAZ057WJ17P036BF1\PAZ057WJ17P036BF1.pdf;None
PAZ057WJ30P036BG1;Enlarge;14000;30;R16;NA;NA;Individual;image\capacitors\22139.png;Datasheet\capacitors\PAZ057WJ30P036BG1\PAZ057WJ30P036BG1.pdf;None
PC0070WE80138BJ1;Enlarge;11000;800;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WE80138BJ1\PC0070WE80138BJ1.pdf;Datasheet\capacitors\PC0070WE80138BJ1\PC0070WE80138BJ1.zip
PC0070WF60138BJ1;Enlarge;12000;600;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WF60138BJ1\PC0070WF60138BJ1.pdf;Datasheet\capacitors\PC0070WF60138BJ1\PC0070WF60138BJ1.zip
PC0070WF80038BG1;Enlarge;12000;80;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WF80038BG1\PC0070WF80038BG1.pdf;Datasheet\capacitors\PC0070WF80038BG1\PC0070WF80038BG1.zip
PC0070WH12138BH1;Enlarge;13000;120;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WH12138BH1\PC0070WH12138BH1.pdf;Datasheet\capacitors\PC0070WH12138BH1\PC0070WH12138BH1.zip
PC0070WH16138BH1;Enlarge;13000;160;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WH16138BH1\PC0070WH16138BH1.pdf;Datasheet\capacitors\PC0070WH16138BH1\PC0070WH16138BH1.zip
PC0070WH40138BJ1;Enlarge;13000;400;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WH40138BJ1\PC0070WH40138BJ1.pdf;Datasheet\capacitors\PC0070WH40138BJ1\PC0070WH40138BJ1.zip
PC0070WH50138BJ1;Enlarge;13000;500;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WH50138BJ1\PC0070WH50138BJ1.pdf;Datasheet\capacitors\PC0070WH50138BJ1\PC0070WH50138BJ1.zip
PC0070WJ10138BH1;Enlarge;14000;100;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WJ10138BH1\PC0070WJ10138BH1.pdf;Datasheet\capacitors\PC0070WJ10138BH1\PC0070WJ10138BH1.zip
PC0070WJ20138BJ1;Enlarge;14000;200;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WJ20138BJ1\PC0070WJ20138BJ1.pdf;Datasheet\capacitors\PC0070WJ20138BJ1\PC0070WJ20138BJ1.zip
PC0070WJ25038BF1;Enlarge;14000;25;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WJ25038BF1\PC0070WJ25038BF1.pdf;Datasheet\capacitors\PC0070WJ25038BF1\PC0070WJ25038BF1.zip
PC0070WJ25138BJ1;Enlarge;14000;250;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WJ25138BJ1\PC0070WJ25138BJ1.pdf;Datasheet\capacitors\PC0070WJ25138BJ1\PC0070WJ25138BJ1.zip
PC0070WJ30038BF1;Enlarge;14000;30;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WJ30038BF1\PC0070WJ30038BF1.pdf;Datasheet\capacitors\PC0070WJ30038BF1\PC0070WJ30038BF1.zip
PC0070WJ30138BJ1;Enlarge;14000;300;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WJ30138BJ1\PC0070WJ30138BJ1.pdf;Datasheet\capacitors\PC0070WJ30138BJ1\PC0070WJ30138BJ1.zip
PC0070WJ40038BG1;Enlarge;14000;40;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WJ40038BG1\PC0070WJ40038BG1.pdf;Datasheet\capacitors\PC0070WJ40038BG1\PC0070WJ40038BG1.zip
PC0070WJ50038BG1;Enlarge;14000;50;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WJ50038BG1\PC0070WJ50038BG1.pdf;Datasheet\capacitors\PC0070WJ50038BG1\PC0070WJ50038BG1.zip
PC0070WJ60038BG1;Enlarge;14000;60;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0070WJ60038BG1\PC0070WJ60038BG1.pdf;Datasheet\capacitors\PC0070WJ60038BG1\PC0070WJ60038BG1.zip
PC0100BJ10138BG1;Enlarge;15000;100;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100BJ10138BG1\PC0100BJ10138BG1.pdf;Datasheet\capacitors\PC0100BJ10138BG1\PC0100BJ10138BG1.zip
PC0100BJ20138BH1;Enlarge;15000;200;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100BJ20138BH1\PC0100BJ20138BH1.pdf;Datasheet\capacitors\PC0100BJ20138BH1\PC0100BJ20138BH1.zip
PC0100BJ50038BF1;Enlarge;15000;50;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100BJ50038BF1\PC0100BJ50038BF1.pdf;Datasheet\capacitors\PC0100BJ50038BF1\PC0100BJ50038BF1.zip
PC0100BJ60038BF1;Enlarge;15000;60;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100BJ60038BF1\PC0100BJ60038BF1.pdf;Datasheet\capacitors\PC0100BJ60038BF1\PC0100BJ60038BF1.zip
PC0100BJ80038BG1;Enlarge;15000;80;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100BJ80038BG1\PC0100BJ80038BG1.pdf;Datasheet\capacitors\PC0100BJ80038BG1\PC0100BJ80038BG1.zip
PC0100WE16238BJ1;Enlarge;11000;1600;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100WE16238BJ1\PC0100WE16238BJ1.pdf;Datasheet\capacitors\PC0100WE16238BJ1\PC0100WE16238BJ1.zip
PC0100WH10238BJ1;Enlarge;13000;1000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100WH10238BJ1\PC0100WH10238BJ1.pdf;Datasheet\capacitors\PC0100WH10238BJ1\PC0100WH10238BJ1.zip
PC0100WH16138BG1;Enlarge;13000;160;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100WH16138BG1\PC0100WH16138BG1.pdf;Datasheet\capacitors\PC0100WH16138BG1\PC0100WH16138BG1.zip
PC0100WH30138BH1;Enlarge;13000;300;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100WH30138BH1\PC0100WH30138BH1.pdf;Datasheet\capacitors\PC0100WH30138BH1\PC0100WH30138BH1.zip
