Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF;IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;AEC-Q101 Qualified;Image path;Datasheet part;3d model part
ESH2PD;Enlarge;200;2;0.75;50;25;175;SMP (DO-220AA);Single;Yes;image/diodes\89016.png;Datasheet\diodes\ESH2PD\ESH2PD.pdf;Datasheet\diodes\ESH2PD\ESH2PD.zip
ESH3B;Enlarge;100;3;0.90;125;25;175;SMC (DO-214AB);Single;Yes;image/diodes\84648.png;Datasheet\diodes\ESH3B\ESH3B.pdf;Datasheet\diodes\ESH3B\ESH3B.zip
ESH3B-M3;Enlarge;100;3;0.90;125;25;175;SMC (DO-214AB);Single;No;image/diodes\88461.png;Datasheet\diodes\ESH3B-M3\ESH3B-M3.pdf;Datasheet\diodes\ESH3B-M3\ESH3B-M3.zip
ESH3C;Enlarge;150;3;0.90;125;25;175;SMC (DO-214AB);Single;Yes;image/diodes\84648.png;Datasheet\diodes\ESH3C\ESH3C.pdf;Datasheet\diodes\ESH3C\ESH3C.zip
ESH3C-M3;Enlarge;150;3;0.90;125;25;175;SMC (DO-214AB);Single;No;image/diodes\88461.png;Datasheet\diodes\ESH3C-M3\ESH3C-M3.pdf;Datasheet\diodes\ESH3C-M3\ESH3C-M3.zip
ESH3D;Enlarge;200;3;0.90;125;25;175;SMC (DO-214AB);Single;Yes;image/diodes\84648.png;Datasheet\diodes\ESH3D\ESH3D.pdf;Datasheet\diodes\ESH3D\ESH3D.zip
ESH3D-M3;Enlarge;200;3;0.90;125;25;175;SMC (DO-214AB);Single;No;image/diodes\88461.png;Datasheet\diodes\ESH3D-M3\ESH3D-M3.pdf;Datasheet\diodes\ESH3D-M3\ESH3D-M3.zip
FEP16xT;Enlarge;50 to 600;2 x 8.0;see datasheet;200;35;150;TO-220AB;Common cathode;Yes;image/diodes\88596.png;Datasheet\diodes\FEP16xT\FEP16xT.pdf;Datasheet\diodes\FEP16xT\FEP16xT.zip
FEP30xP-E3;Enlarge;50;30;see datasheet;300;35;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88597.png;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.pdf;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.zip
FEP30xP-E3;Enlarge;100;30;see datasheet;300;35;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88597.png;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.pdf;Datasheet\diodes\FEP30xP-E3\FEP30xP-E3.zip
