Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF;IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;AEC-Q101 Qualified;Image path;Datasheet part;3d model part
VS-16EDU06-M3;Enlarge;600;16;0.91;160;55;175;SMPD (TO-263AC);Single;No;image/diodes\95818.png;Datasheet\diodes\VS-16EDU06-M3\VS-16EDU06-M3.pdf;None
VS-16EDU06HM3;Enlarge;600;16;0.91;160;55;175;SMPD (TO-263AC);Single;Yes;image/diodes\95819.png;Datasheet\diodes\VS-16EDU06HM3\VS-16EDU06HM3.pdf;None
VS-1EAH02-M3;Enlarge;200;1;0.72;32;15;175;DFN3820A;Single;No;image/diodes\97082.png;Datasheet\diodes\VS-1EAH02-M3\VS-1EAH02-M3.pdf;None
VS-1EAH02HM3;Enlarge;200;1;0.72;32;15;175;DFN3820A;Single;Yes;image/diodes\97067.png;Datasheet\diodes\VS-1EAH02HM3\VS-1EAH02HM3.pdf;None
VS-1EFH01-M3;Enlarge;100;1;0.74;35;25;175;SMF (DO-219AB);Single;No;image/diodes\95783.png;Datasheet\diodes\VS-1EFH01-M3\VS-1EFH01-M3.pdf;None
VS-1EFH01HM3;Enlarge;100;1;0.74;35;25;175;SMF (DO-219AB);Single;Yes;image/diodes\95784.png;Datasheet\diodes\VS-1EFH01HM3\VS-1EFH01HM3.pdf;None
VS-1EFH02-M3;Enlarge;200;1;0.74;35;25;175;SMF (DO-219AB);Single;No;image/diodes\95785.png;Datasheet\diodes\VS-1EFH02-M3\VS-1EFH02-M3.pdf;None
VS-1EFH02HM3;Enlarge;200;1;0.74;35;25;175;SMF (DO-219AB);Single;Yes;image/diodes\95786.png;Datasheet\diodes\VS-1EFH02HM3\VS-1EFH02HM3.pdf;None
VS-1EFU06-M3;Enlarge;600;1;0.83;30;55;175;SMF (DO-219AB);Single;No;image/diodes\95864.png;Datasheet\diodes\VS-1EFU06-M3\VS-1EFU06-M3.pdf;None
VS-1EFU06HM3;Enlarge;600;1;0.83;30;55;175;SMF (DO-219AB);Single;Yes;image/diodes\95863.png;Datasheet\diodes\VS-1EFU06HM3\VS-1EFU06HM3.pdf;None
VS-1EMH01-M3;Enlarge;100;1;0.68;50;25;175;SMA (DO-214AC);Single die;No;image/diodes\95826.png;Datasheet\diodes\VS-1EMH01-M3\VS-1EMH01-M3.pdf;None
VS-1EMH01HM3;Enlarge;100;1;0.68;50;25;175;SMA (DO-214AC);Single;Yes;image/diodes\95827.png;Datasheet\diodes\VS-1EMH01HM3\VS-1EMH01HM3.pdf;None
VS-1EMH02-M3;Enlarge;200;1;0.68;50;25;175;SMA (DO-214AC);Single;No;image/diodes\95828.png;Datasheet\diodes\VS-1EMH02-M3\VS-1EMH02-M3.pdf;None
VS-1EMH02HM3;Enlarge;200;1;0.68;50;25;175;SMA (DO-214AC);Single;Yes;image/diodes\95829.png;Datasheet\diodes\VS-1EMH02HM3\VS-1EMH02HM3.pdf;None
VS-1ENH01-M3;Enlarge;100;1;0.69;40;23;175;SMP (DO-220AA);Single;No;image/diodes\96578.png;Datasheet\diodes\VS-1ENH01-M3\VS-1ENH01-M3.pdf;None
VS-1ENH01HM3;Enlarge;100;1;0.69;40;23;175;SMP (DO-220AA);Single;Yes;image/diodes\96544.png;Datasheet\diodes\VS-1ENH01HM3\VS-1ENH01HM3.pdf;None
VS-1ENH02-M3;Enlarge;200;1;0.69;40;23;175;SMP (DO-220AA);Single;No;image/diodes\96578.png;Datasheet\diodes\VS-1ENH02-M3\VS-1ENH02-M3.pdf;None
VS-1ENH02HM3;Enlarge;200;1;0.69;40;23;175;SMP (DO-220AA);Single;Yes;image/diodes\96544.png;Datasheet\diodes\VS-1ENH02HM3\VS-1ENH02HM3.pdf;None
VS-1EQH01-M3;Enlarge;100;1;0.72;30;33;175;MicroSMP (DO-219AD);Single;No;image/diodes\96592.png;Datasheet\diodes\VS-1EQH01-M3\VS-1EQH01-M3.pdf;None
VS-1EQH01HM3;Enlarge;100;1;0.72;30;33;175;MicroSMP (DO-219AD);Single;Yes;image/diodes\96563.png;Datasheet\diodes\VS-1EQH01HM3\VS-1EQH01HM3.pdf;None
VS-1EQH02-M3;Enlarge;200;1;0.72;30;33;175;MicroSMP (DO-219AD);Single;No;image/diodes\96592.png;Datasheet\diodes\VS-1EQH02-M3\VS-1EQH02-M3.pdf;None
VS-1EQH02HM3;Enlarge;200;1;0.72;30;33;175;MicroSMP (DO-219AD);Single;Yes;image/diodes\96563.png;Datasheet\diodes\VS-1EQH02HM3\VS-1EQH02HM3.pdf;None
VS-20CDH02-M3;Enlarge;200;2 x 10;0.77;210;25;175;SMPD (TO-263AC);Common cathode;No;image/diodes\95820.png;Datasheet\diodes\VS-20CDH02-M3\VS-20CDH02-M3.pdf;None
VS-20CDH02HM3;Enlarge;200;2 x 10;0.77;210;25;175;SMPD (TO-263AC);Common cathode;Yes;image/diodes\95821.png;Datasheet\diodes\VS-20CDH02HM3\VS-20CDH02HM3.pdf;None
VS-20CTH03-1-M3;Enlarge;300;2 x 10;0.85;120;35;175;TO-262AA;Common cathode;No;image/diodes\96386.png;Datasheet\diodes\VS-20CTH03-1-M3\VS-20CTH03-1-M3.pdf;None
VS-20CTH03-1HM3;Enlarge;300;2 x 10;0.85;120;23;175;TO-262AA;Common cathode;Yes;image/diodes\95671.png;Datasheet\diodes\VS-20CTH03-1HM3\VS-20CTH03-1HM3.pdf;Datasheet\diodes\VS-20CTH03-1HM3\VS-20CTH03-1HM3.zip
VS-20CTH03-M3;Enlarge;300;2 x 10;0.85;120;see datasheet;175;TO-220AB 3L;Common cathode;No;image/diodes\96205.png;Datasheet\diodes\VS-20CTH03-M3\VS-20CTH03-M3.pdf;None
VS-20CTH03FP-N3;Enlarge;300;2 x 10;0.85;120;see datasheet;175;TO-220 FullPAK 3L;Common cathode;No;image/diodes\96432.png;Datasheet\diodes\VS-20CTH03FP-N3\VS-20CTH03FP-N3.pdf;None
VS-20CTH03S-M3;Enlarge;300;2 x 10;0.85;120;35;175;D2PAK (TO-263AB);Common cathode;No;image/diodes\96386.png;Datasheet\diodes\VS-20CTH03S-M3\VS-20CTH03S-M3.pdf;None
VS-20CTH03SHM3;Enlarge;300;2 x 10;0.85;120;23;175;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\95671.png;Datasheet\diodes\VS-20CTH03SHM3\VS-20CTH03SHM3.pdf;Datasheet\diodes\VS-20CTH03SHM3\VS-20CTH03SHM3.zip
VS-2EAH02-M3;Enlarge;200;2;0.71;54;15;175;DFN3820A;Single;No;image/diodes\97083.png;Datasheet\diodes\VS-2EAH02-M3\VS-2EAH02-M3.pdf;None
VS-2EAH02HM3;Enlarge;200;2;0.71;54;15;175;DFN3820A;Single;Yes;image/diodes\97069.png;Datasheet\diodes\VS-2EAH02HM3\VS-2EAH02HM3.pdf;None
VS-2EFH01-M3;Enlarge;100;2;0.75;50;25;175;SMF (DO-219AB);Single;No;image/diodes\95787.png;Datasheet\diodes\VS-2EFH01-M3\VS-2EFH01-M3.pdf;None
VS-2EFH01HM3;Enlarge;100;2;0.75;50;25;175;SMF (DO-219AB);Single;Yes;image/diodes\95788.png;Datasheet\diodes\VS-2EFH01HM3\VS-2EFH01HM3.pdf;None
VS-2EFH02-M3;Enlarge;200;2;0.75;50;25;175;SMF (DO-219AB);Single;No;image/diodes\95789.png;Datasheet\diodes\VS-2EFH02-M3\VS-2EFH02-M3.pdf;None
VS-2EFH02HM3;Enlarge;200;2;0.75;50;25;175;SMF (DO-219AB);Single;Yes;image/diodes\95790.png;Datasheet\diodes\VS-2EFH02HM3\VS-2EFH02HM3.pdf;None
VS-2EFU06-M3;Enlarge;600;2;0.95;30;55;175;SMF (DO-219AB);Single;No;image/diodes\95866.png;Datasheet\diodes\VS-2EFU06-M3\VS-2EFU06-M3.pdf;None
VS-2EFU06HM3;Enlarge;600;2;0.95;30;55;175;SMF (DO-219AB);Single;Yes;image/diodes\95865.png;Datasheet\diodes\VS-2EFU06HM3\VS-2EFU06HM3.pdf;None
VS-2EGH01-M3;Enlarge;100;2;0.66;70;24;175;SMB (DO-214AA);Single;No;image/diodes\96443.png;Datasheet\diodes\VS-2EGH01-M3\VS-2EGH01-M3.pdf;None
VS-2EGH02-M3;Enlarge;200;2;0.66;70;24;175;SMB (DO-214AA);Single;No;image/diodes\96444.png;Datasheet\diodes\VS-2EGH02-M3\VS-2EGH02-M3.pdf;None
VS-2EGH02HM3;Enlarge;200;2;0.66;70;24;175;SMB (DO-214AA);Single;Yes;image/diodes\94859.png;Datasheet\diodes\VS-2EGH02HM3\VS-2EGH02HM3.pdf;None
VS-2EJH01-M3;Enlarge;100;2;0.72;65;25;175;SlimSMA (DO-221AC);Single;No;image/diodes\94901.png;Datasheet\diodes\VS-2EJH01-M3\VS-2EJH01-M3.pdf;None
VS-2EJH01HM3;Enlarge;100;2;0.72;65;25;175;SlimSMA (DO-221AC);Single;Yes;image/diodes\94902.png;Datasheet\diodes\VS-2EJH01HM3\VS-2EJH01HM3.pdf;None
VS-2EJH02-M3;Enlarge;200;2;0.72;65;25;175;SlimSMA (DO-221AC);Single;No;image/diodes\94881.png;Datasheet\diodes\VS-2EJH02-M3\VS-2EJH02-M3.pdf;None
VS-2EJH02HM3;Enlarge;200;2;0.72;65;25;175;SlimSMA (DO-221AC);Single;Yes;image/diodes\94880.png;Datasheet\diodes\VS-2EJH02HM3\VS-2EJH02HM3.pdf;None
VS-2EMH01-M3;Enlarge;100;2;0.75;50;25;175;SMA (DO-214AC);Single;No;image/diodes\95830.png;Datasheet\diodes\VS-2EMH01-M3\VS-2EMH01-M3.pdf;None
VS-2EMH01HM3;Enlarge;100;2;0.75;50;25;175;SMA (DO-214AC);Single;Yes;image/diodes\95831.png;Datasheet\diodes\VS-2EMH01HM3\VS-2EMH01HM3.pdf;None
VS-2EMH02-M3;Enlarge;200;2;0.75;50;25;175;SMA (DO-214AC);Single;No;image/diodes\95832.png;Datasheet\diodes\VS-2EMH02-M3\VS-2EMH02-M3.pdf;None
VS-2EMH02HM3;Enlarge;200;2;0.75;50;25;175;SMA (DO-214AC);Single;Yes;image/diodes\95833.png;Datasheet\diodes\VS-2EMH02HM3\VS-2EMH02HM3.pdf;None
VS-2ENH01-M3;Enlarge;100;2;0.79;40;23;175;SMP (DO-220AA);Single;No;image/diodes\96577.png;Datasheet\diodes\VS-2ENH01-M3\VS-2ENH01-M3.pdf;None
VS-2ENH01HM3;Enlarge;100;2;0.79;40;23;175;SMP (DO-220AA);Single;Yes;image/diodes\96548.png;Datasheet\diodes\VS-2ENH01HM3\VS-2ENH01HM3.pdf;None
VS-2ENH02-M3;Enlarge;200;2;0.79;40;23;175;SMP (DO-220AA);Single;No;image/diodes\96577.png;Datasheet\diodes\VS-2ENH02-M3\VS-2ENH02-M3.pdf;None
VS-2ENH02HM3;Enlarge;200;2;0.79;40;23;175;SMP (DO-220AA);Single;Yes;image/diodes\96548.png;Datasheet\diodes\VS-2ENH02HM3\VS-2ENH02HM3.pdf;None
VS-2EQH01-M3;Enlarge;100;2;0.82;30;33;175;MicroSMP (DO-219AD);Single;No;image/diodes\96545.png;Datasheet\diodes\VS-2EQH01-M3\VS-2EQH01-M3.pdf;None
VS-2EQH01HM3;Enlarge;100;2;0.82;30;33;175;MicroSMP (DO-219AD);Single;Yes;image/diodes\96564.png;Datasheet\diodes\VS-2EQH01HM3\VS-2EQH01HM3.pdf;None
VS-2EQH02-M3;Enlarge;200;2;0.82;30;33;175;MicroSMP (DO-219AD);Single;No;image/diodes\96545.png;Datasheet\diodes\VS-2EQH02-M3\VS-2EQH02-M3.pdf;None
VS-2EQH02HM3;Enlarge;200;2;0.82;30;33;175;MicroSMP (DO-219AD);Single;Yes;image/diodes\96564.png;Datasheet\diodes\VS-2EQH02HM3\VS-2EQH02HM3.pdf;None
VS-2EYH01-M3;Enlarge;100;2;0.69;60;15;175;SlimSMAW (DO-221AD);Single;No;image/diodes\96514.png;Datasheet\diodes\VS-2EYH01-M3\VS-2EYH01-M3.pdf;None
VS-2EYH01HM3;Enlarge;100;2;0.69;60;15;175;SlimSMAW (DO-221AD);Single;Yes;image/diodes\96383.png;Datasheet\diodes\VS-2EYH01HM3\VS-2EYH01HM3.pdf;None
VS-2EYH02-M3;Enlarge;200;2;0.69;60;15;175;SlimSMAW (DO-221AD);Single;No;image/diodes\96514.png;Datasheet\diodes\VS-2EYH02-M3\VS-2EYH02-M3.pdf;None
VS-2EYH02HM3;Enlarge;200;2;0.69;60;15;175;SlimSMAW (DO-221AD);Single;Yes;image/diodes\96383.png;Datasheet\diodes\VS-2EYH02HM3\VS-2EYH02HM3.pdf;None
VS-30CDH06-M3;Enlarge;600;2 x 15;1.22;160;30;175;SMPD (TO-263AC);Common cathode;No;image/diodes\96625.png;Datasheet\diodes\VS-30CDH06-M3\VS-30CDH06-M3.pdf;None
VS-30CDH06HM3;Enlarge;600;2 x 15;1.22;160;30;175;SMPD (TO-263AC);Common cathode;Yes;image/diodes\96624.png;Datasheet\diodes\VS-30CDH06HM3\VS-30CDH06HM3.pdf;None
VS-30CDU06-M3;Enlarge;600;2 x 15;0.9;300;55;175;SMPD (TO-263AC);Common cathode;No;image/diodes\95822.png;Datasheet\diodes\VS-30CDU06-M3\VS-30CDU06-M3.pdf;None
VS-30CDU06HM3;Enlarge;600;2 x 15;0.9;300;55;175;SMPD (TO-263AC);Common cathode;Yes;image/diodes\95823.png;Datasheet\diodes\VS-30CDU06HM3\VS-30CDU06HM3.pdf;None
VS-30CPH03-N3;Enlarge;300;2 x 15;0.85;140;see datasheet;175;TO-247AC 3L;Common cathode;No;image/diodes\94012.png;Datasheet\diodes\VS-30CPH03-N3\VS-30CPH03-N3.pdf;None
VS-30CPU04-N3;Enlarge;400;2 x 15;0.93;200;see datasheet;175;TO-247AC 3L;Common cathode;No;image/diodes\94013.png;Datasheet\diodes\VS-30CPU04-N3\VS-30CPU04-N3.pdf;None
VS-30CPU04LHN3;Enlarge;400;2 x 15;0.93;200;36;175;TO-247AD 3L;Common cathode;Yes;image/diodes\96845.png;Datasheet\diodes\VS-30CPU04LHN3\VS-30CPU04LHN3.pdf;None
VS-30CTH02-1-M3;Enlarge;200;2 x 15;0.78;200;30;175;TO-262AA;Common cathode;No;image/diodes\96234.png;Datasheet\diodes\VS-30CTH02-1-M3\VS-30CTH02-1-M3.pdf;None
VS-30CTH02-M3;Enlarge;200;2 x 15;0.78;200;see datasheet;175;TO-220AB 3L;Common cathode;No;image/diodes\96206.png;Datasheet\diodes\VS-30CTH02-M3\VS-30CTH02-M3.pdf;None
VS-30CTH02FP-N3;Enlarge;200;2 x 15;0.78;200;see datasheet;175;TO-220 FullPAK 3L;Common cathode;No;image/diodes\96433.png;Datasheet\diodes\VS-30CTH02FP-N3\VS-30CTH02FP-N3.pdf;None
VS-30CTH02HN3;Enlarge;200;2 x 15;0.78;200;see datasheet;175;TO-220AB;Common cathode;Yes;image/diodes\96116.png;Datasheet\diodes\VS-30CTH02HN3\VS-30CTH02HN3.pdf;None
VS-30CTH02S-M3;Enlarge;200;2 x 15;0.78;200;30;175;D2PAK (TO-263AB);Common cathode;No;image/diodes\96234.png;Datasheet\diodes\VS-30CTH02S-M3\VS-30CTH02S-M3.pdf;None
VS-30CTH02SHM3;Enlarge;200;2 x 15;0.78;200;30;175;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\96522.png;Datasheet\diodes\VS-30CTH02SHM3\VS-30CTH02SHM3.pdf;None
VS-30CTH03-M3;Enlarge;300;2 x 15;0.85;150;see datasheet;175;TO-220AB 3L;Common cathode;No;image/diodes\96198.png;Datasheet\diodes\VS-30CTH03-M3\VS-30CTH03-M3.pdf;None
VS-30EPH03-N3;Enlarge;300;30;0.9;300;see datasheet;175;TO-247AC 2L;Single;No;image/diodes\94017.png;Datasheet\diodes\VS-30EPH03-N3\VS-30EPH03-N3.pdf;None
VS-30EPH06-N3;Enlarge;600;30;1.34;300;see datasheet;175;TO-247AC 2L;Single;No;image/diodes\94018.png;Datasheet\diodes\VS-30EPH06-N3\VS-30EPH06-N3.pdf;None
VS-30EPH06HN3;Enlarge;600;30;1.34;300;see datasheet;175;TO-247AC modified;Single;Yes;image/diodes\94371.png;Datasheet\diodes\VS-30EPH06HN3\VS-30EPH06HN3.pdf;None
VS-30EPH06L-N3;Enlarge;600;30;1.34;300;see datasheet;175;TO-247AD 2L;Single;No;image/diodes\96626.png;Datasheet\diodes\VS-30EPH06L-N3\VS-30EPH06L-N3.pdf;None
VS-30EPU12L-N3;Enlarge;1200;30;2.05;300;49;175;TO-247AD 2L;Single;No;image/diodes\95927.png;Datasheet\diodes\VS-30EPU12L-N3\VS-30EPU12L-N3.pdf;None
VS-30EPU12LHN3;Enlarge;1200;30;2.05;300;49;175;TO-247AD 2L;Single die;Yes;image/diodes\95938.png;Datasheet\diodes\VS-30EPU12LHN3\VS-30EPU12LHN3.pdf;None
VS-30ETH06-1-M3;Enlarge;600;30;1.34;200;28;175;TO-262AA;Single;No;image/diodes\94236.png;Datasheet\diodes\VS-30ETH06-1-M3\VS-30ETH06-1-M3.pdf;None
VS-30ETH06-1-M3;Enlarge;600;30;1.34;200;28;175;TO-262AA;Single;No;image/diodes\96236.png;Datasheet\diodes\VS-30ETH06-1-M3\VS-30ETH06-1-M3.pdf;None
VS-30ETH06-M3;Enlarge;600;30;1.34;200;23;175;TO-220AC 2L;Single;No;image/diodes\96182.png;Datasheet\diodes\VS-30ETH06-M3\VS-30ETH06-M3.pdf;Datasheet\diodes\VS-30ETH06-M3\VS-30ETH06-M3.zip
VS-30ETH06FP-N3;Enlarge;600;30;1.34;220;23;175;TO-220 FullPAK 2L;Single;No;image/diodes\96292.png;Datasheet\diodes\VS-30ETH06FP-N3\VS-30ETH06FP-N3.pdf;None
VS-30ETH06S-M3;Enlarge;600;30;1.34;200;28;175;D2PAK (TO-263AB);Single;No;image/diodes\94236.png;Datasheet\diodes\VS-30ETH06S-M3\VS-30ETH06S-M3.pdf;None
VS-30ETH06S-M3;Enlarge;600;30;1.34;200;28;175;D2PAK (TO-263AB);Single;No;image/diodes\96236.png;Datasheet\diodes\VS-30ETH06S-M3\VS-30ETH06S-M3.pdf;None
VS-30ETU12-M3;Enlarge;1200;30;2.05;240;49;175;TO-220AC 2L;Single;No;image/diodes\95990.png;Datasheet\diodes\VS-30ETU12-M3\VS-30ETU12-M3.pdf;None
VS-30ETU12THN3;Enlarge;1200;30;2.05;240;49;175;TO-220AC 2L;Single;Yes;image/diodes\96071.png;Datasheet\diodes\VS-30ETU12THN3\VS-30ETU12THN3.pdf;None
VS-3EAH02-M3;Enlarge;200;3;0.73;61;15;175;DFN3820A;Single;No;image/diodes\97084.png;Datasheet\diodes\VS-3EAH02-M3\VS-3EAH02-M3.pdf;None
VS-3EAH02HM3;Enlarge;200;3;0.73;61;15;175;DFN3820A;Single;Yes;image/diodes\97070.png;Datasheet\diodes\VS-3EAH02HM3\VS-3EAH02HM3.pdf;None
VS-3ECH01-M3;Enlarge;100;3;0.69;130;25;175;SMC (DO-214AB);Single;No;image/diodes\95834.png;Datasheet\diodes\VS-3ECH01-M3\VS-3ECH01-M3.pdf;None
VS-3ECH01HM3;Enlarge;100;3;0.69;130;25;175;SMC (DO-214AB);Single;Yes;image/diodes\95835.png;Datasheet\diodes\VS-3ECH01HM3\VS-3ECH01HM3.pdf;None
VS-3ECH02-M3;Enlarge;200;3;0.69;130;25;175;SMC (DO-214AB);Single;No;image/diodes\95836.png;Datasheet\diodes\VS-3ECH02-M3\VS-3ECH02-M3.pdf;None
VS-3ECH02HM3;Enlarge;200;3;0.69;130;25;175;SMC (DO-214AB);Single;Yes;image/diodes\95837.png;Datasheet\diodes\VS-3ECH02HM3\VS-3ECH02HM3.pdf;None
VS-3EGH06-M3;Enlarge;600;3;1.2;55;35;175;SMB (DO-214AA);Single;No;image/diodes\94773.png;Datasheet\diodes\VS-3EGH06-M3\VS-3EGH06-M3.pdf;None
VS-3EGU06-M3;Enlarge;600;3;0.99;55;41;175;SMB (DO-214AA);Single;No;image/diodes\94707.png;Datasheet\diodes\VS-3EGU06-M3\VS-3EGU06-M3.pdf;None
VS-3EGU06WHM3;Enlarge;600;3;0.99;55;41;175;SMB (DO-214AA);Single;Yes;image/diodes\95852.png;Datasheet\diodes\VS-3EGU06WHM3\VS-3EGU06WHM3.pdf;None
VS-3EJH01-M3;Enlarge;100;3;0.74;85;30;175;SlimSMA (DO-221AC);Single;No;image/diodes\94903.png;Datasheet\diodes\VS-3EJH01-M3\VS-3EJH01-M3.pdf;None
VS-3EJH01HM3;Enlarge;100;3;0.74;85;30;175;SlimSMA (DO-221AC);Single;Yes;image/diodes\94904.png;Datasheet\diodes\VS-3EJH01HM3\VS-3EJH01HM3.pdf;None
VS-3EJH02-M3;Enlarge;200;3;0.74;85;30;175;SlimSMA (DO-221AC);Single;No;image/diodes\94879.png;Datasheet\diodes\VS-3EJH02-M3\VS-3EJH02-M3.pdf;None
VS-3EJH02HM3;Enlarge;200;3;0.74;85;30;175;SlimSMA (DO-221AC);Single;Yes;image/diodes\94878.png;Datasheet\diodes\VS-3EJH02HM3\VS-3EJH02HM3.pdf;None
VS-3EJU06-M3;Enlarge;600;3;0.99;43;50;175;SlimSMA (DO-221AC);Single;No;image/diodes\96067.png;Datasheet\diodes\VS-3EJU06-M3\VS-3EJU06-M3.pdf;None
VS-3EJU06HM3;Enlarge;600;3;0.99;43;50;175;SlimSMA (DO-221AC);Single;Yes;image/diodes\96068.png;Datasheet\diodes\VS-3EJU06HM3\VS-3EJU06HM3.pdf;None
VS-3EMH06-M3;Enlarge;600;3;1.2;50;35;175;SMA (DO-214AC);Single;No;image/diodes\94776.png;Datasheet\diodes\VS-3EMH06-M3\VS-3EMH06-M3.pdf;None
VS-3EMU06-M3;Enlarge;600;3;0.99;55;41;175;SMA (DO-214AC);Single;No;image/diodes\93993.png;Datasheet\diodes\VS-3EMU06-M3\VS-3EMU06-M3.pdf;None
VS-3EYH01-M3;Enlarge;100;3;0.71;70;16;175;SlimSMAW (DO-221AD);Single;No;image/diodes\96515.png;Datasheet\diodes\VS-3EYH01-M3\VS-3EYH01-M3.pdf;None
VS-3EYH01HM3;Enlarge;100;3;0.71;70;16;175;SlimSMAW (DO-221AD);Single;Yes;image/diodes\96384.png;Datasheet\diodes\VS-3EYH01HM3\VS-3EYH01HM3.pdf;None
VS-3EYH02-M3;Enlarge;200;3;0.71;70;16;175;SlimSMAW (DO-221AD);Single;No;image/diodes\96515.png;Datasheet\diodes\VS-3EYH02-M3\VS-3EYH02-M3.pdf;None
VS-3EYH02HM3;Enlarge;200;3;0.71;70;16;175;SlimSMAW (DO-221AD);Single;Yes;image/diodes\96384.png;Datasheet\diodes\VS-3EYH02HM3\VS-3EYH02HM3.pdf;None
VS-4CSH01-M3;Enlarge;100;2 x 2;0.75;90;24;175;SMPC (TO-277A);Common cathode;No;image/diodes\94996.png;Datasheet\diodes\VS-4CSH01-M3\VS-4CSH01-M3.pdf;Datasheet\diodes\VS-4CSH01-M3\VS-4CSH01-M3.zip
VS-4CSH01HM3;Enlarge;100;2 x 2;0.75;90;24;175;SMPC (TO-277A);Common cathode;Yes;image/diodes\94997.png;Datasheet\diodes\VS-4CSH01HM3\VS-4CSH01HM3.pdf;Datasheet\diodes\VS-4CSH01HM3\VS-4CSH01HM3.zip
VS-4CSH02-M3;Enlarge;200;2 x 2;0.75;90;24;175;SMPC (TO-277A);Common cathode;No;image/diodes\94976.png;Datasheet\diodes\VS-4CSH02-M3\VS-4CSH02-M3.pdf;Datasheet\diodes\VS-4CSH02-M3\VS-4CSH02-M3.zip
VS-4CSH02HM3;Enlarge;200;2 x 2;0.75;90;24;175;SMPC (TO-277A);Common cathode;Yes;image/diodes\94973.png;Datasheet\diodes\VS-4CSH02HM3\VS-4CSH02HM3.pdf;Datasheet\diodes\VS-4CSH02HM3\VS-4CSH02HM3.zip
VS-4ECH06-M3;Enlarge;600;4;1.15;90;30;175;SMC (DO-214AB);Single;No;image/diodes\94777.png;Datasheet\diodes\VS-4ECH06-M3\VS-4ECH06-M3.pdf;None
VS-4ECU06-M3;Enlarge;600;4;0.88;120;45;175;SMC (DO-214AB);Single;No;image/diodes\94778.png;Datasheet\diodes\VS-4ECU06-M3\VS-4ECU06-M3.pdf;None
VS-4EGH06-M3;Enlarge;600;4;1.2;55;30;175;SMB (DO-214AA);Single;No;image/diodes\94775.png;Datasheet\diodes\VS-4EGH06-M3\VS-4EGH06-M3.pdf;None
VS-4EGU06-M3;Enlarge;600;4;0.94;100;45;175;SMB (DO-214AA);Single;No;image/diodes\94774.png;Datasheet\diodes\VS-4EGU06-M3\VS-4EGU06-M3.pdf;None
VS-4ESH01-M3;Enlarge;100;4;0.73;130;27;175;SMPC (TO-277A);Single;No;image/diodes\94998.png;Datasheet\diodes\VS-4ESH01-M3\VS-4ESH01-M3.pdf;Datasheet\diodes\VS-4ESH01-M3\VS-4ESH01-M3.zip
VS-4ESH01HM3;Enlarge;100;4;0.73;130;27;175;SMPC (TO-277A);Single;Yes;image/diodes\94999.png;Datasheet\diodes\VS-4ESH01HM3\VS-4ESH01HM3.pdf;Datasheet\diodes\VS-4ESH01HM3\VS-4ESH01HM3.zip
VS-4ESH02-M3;Enlarge;200;4;0.73;130;27;175;SMPC (TO-277A);Single;No;image/diodes\94978.png;Datasheet\diodes\VS-4ESH02-M3\VS-4ESH02-M3.pdf;Datasheet\diodes\VS-4ESH02-M3\VS-4ESH02-M3.zip
VS-4ESH02HM3;Enlarge;200;4;0.73;130;27;175;SMPC (TO-277A);Single;Yes;image/diodes\94979.png;Datasheet\diodes\VS-4ESH02HM3\VS-4ESH02HM3.pdf;Datasheet\diodes\VS-4ESH02HM3\VS-4ESH02HM3.zip
VS-4EVH01-M3;Enlarge;100;4;0.71;100;16;175;SlimDPAK (TO-252AE);Single;No;image/diodes\96100.png;Datasheet\diodes\VS-4EVH01-M3\VS-4EVH01-M3.pdf;None
VS-4EVH01HM3;Enlarge;100;4;0.71;100;16;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\96101.png;Datasheet\diodes\VS-4EVH01HM3\VS-4EVH01HM3.pdf;None
VS-4EVH02-M3;Enlarge;200;4;0.71;100;16;175;SlimDPAK (TO-252AE);Single;No;image/diodes\96102.png;Datasheet\diodes\VS-4EVH02-M3\VS-4EVH02-M3.pdf;None
VS-4EVH02HM3;Enlarge;200;4;0.71;100;16;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\95669.png;Datasheet\diodes\VS-4EVH02HM3\VS-4EVH02HM3.pdf;None
VS-4EWH02FN-M3;Enlarge;200;4;0.71;80;23;175;DPAK (TO-252AA);Single;No;image/diodes\93258.png;Datasheet\diodes\VS-4EWH02FN-M3\VS-4EWH02FN-M3.pdf;Datasheet\diodes\VS-4EWH02FN-M3\VS-4EWH02FN-M3.zip
VS-4EWH02FNHM3;Enlarge;200;4;0.71;80;23;175;DPAK (TO-252AA);Single;Yes;image/diodes\94766.png;Datasheet\diodes\VS-4EWH02FNHM3\VS-4EWH02FNHM3.pdf;Datasheet\diodes\VS-4EWH02FNHM3\VS-4EWH02FNHM3.zip
VS-50EPU12L-N3;Enlarge;1200;50;1.95;400;57;175;TO-247AD 2L;Single;No;image/diodes\95928.png;Datasheet\diodes\VS-50EPU12L-N3\VS-50EPU12L-N3.pdf;None
VS-50EPU12LHN3;Enlarge;1200;50;1.95;400;57;175;TO-247AD 2L;Single die;Yes;image/diodes\95684.png;Datasheet\diodes\VS-50EPU12LHN3\VS-50EPU12LHN3.pdf;None
