Series;Product Image;Package (JEDEC®) Code;VRRM(V);IRat VR(nA at V);VFat IF(V at mA);trr(ns);Circuit Configuration;AEC-Q101 Qualified;Image path;Datasheet part;3d model part
BAV99;Enlarge;SOT-23;70;100 at 70;0.715 at 1;6;Dual serial;Yes;image/diodes/86378.png;Datasheet/diodes/switching/BAV99/BAV99.pdf;Datasheet/diodes/switching/BAV99/BAV99.zip
BAV99-G;Enlarge;SOT-23;70;100 at 70;0.715 at 1;6;Dual serial;Yes;image/diodes/86379.png;Datasheet/diodes/switching/BAV99-G/BAV99-G.pdf;Datasheet/diodes/switching/BAV99-G/BAV99-G.zip
BAW27;Enlarge;DO-35 (DO-204AH);75;100 at 60;0.750 at 10;6;Single;No;image/diodes/85548.png;Datasheet/diodes/switching/BAW27/BAW27.pdf;Datasheet/diodes/switching/BAW27/BAW27.zip
BAW56;Enlarge;SOT-23;70;100 at 70;0.715 at 1;6;Common anode;Yes;image/diodes/86380.png;Datasheet/diodes/switching/BAW56/BAW56.pdf;Datasheet/diodes/switching/BAW56/BAW56.zip
BAW56-G;Enlarge;SOT-23;70;100 at 70;0.715 at 1;6;Common anode;Yes;image/diodes/86381.png;Datasheet/diodes/switching/BAW56-G/BAW56-G.pdf;Datasheet/diodes/switching/BAW56-G/BAW56-G.zip
BAW75;Enlarge;DO-35 (DO-204AH);35;100 at 25;1 at 30;4;Single;No;image/diodes/85550.png;Datasheet/diodes/switching/BAW75/BAW75.pdf;Datasheet/diodes/switching/BAW75/BAW75.zip
BAW76;Enlarge;DO-35 (DO-204AH);75;100 at 50;1 at 100;4;Single;No;image/diodes/85551.png;Datasheet/diodes/switching/BAW76/BAW76.pdf;Datasheet/diodes/switching/BAW76/BAW76.zip
GSD2004A;Enlarge;SOT-23;300;100 at 240;0.87 at 20;50;Common anode;Yes;image/diodes/86382.png;Datasheet/diodes/switching/GSD2004A/GSD2004A.pdf;Datasheet/diodes/switching/GSD2004A/GSD2004A.zip
GSD2004A-G;Enlarge;SOT-23;300;100 at 240;0.87 at 20;50;Common anode;Yes;image/diodes/86383.png;Datasheet/diodes/switching/GSD2004A-G/GSD2004A-G.pdf;Datasheet/diodes/switching/GSD2004A-G/GSD2004A-G.zip
GSD2004C;Enlarge;SOT-23;300;100 at 240;0.87 at 20;50;Common anode;Yes;image/diodes/86384.png;Datasheet/diodes/switching/GSD2004C/GSD2004C.pdf;Datasheet/diodes/switching/GSD2004C/GSD2004C.zip
GSD2004C-G;Enlarge;SOT-23;300;100 at 240;0.87 at 20;50;Common anode;Yes;image/diodes/86385.png;Datasheet/diodes/switching/GSD2004C-G/GSD2004C-G.pdf;Datasheet/diodes/switching/GSD2004C-G/GSD2004C-G.zip
GSD2004S;Enlarge;SOT-23;300;100 at 240;0.87 at 20;50;Dual serial;Yes;image/diodes/86386.png;Datasheet/diodes/switching/GSD2004S/GSD2004S.pdf;Datasheet/diodes/switching/GSD2004S/GSD2004S.zip
GSD2004S-G;Enlarge;SOT-23;300;100 at 240;0.87 at 20;50;Dual serial;Yes;image/diodes/86387.png;Datasheet/diodes/switching/GSD2004S-G/GSD2004S-G.pdf;Datasheet/diodes/switching/GSD2004S-G/GSD2004S-G.zip
GSD2004W;Enlarge;SOD-123;300;100 at 240;1 at 100;50;Single;Yes;image/diodes/86388.png;Datasheet/diodes/switching/GSD2004W/GSD2004W.pdf;Datasheet/diodes/switching/GSD2004W/GSD2004W.zip
GSD2004W-G;Enlarge;SOD-123;300;100 at 240;1 at 100;50;Single;Yes;image/diodes/86389.png;Datasheet/diodes/switching/GSD2004W-G/GSD2004W-G.pdf;Datasheet/diodes/switching/GSD2004W-G/GSD2004W-G.zip
GSD2004WS;Enlarge;SOD-323;300;100 at 240;0.87 at 20;50;Single;Yes;image/diodes/85730.png;Datasheet/diodes/switching/GSD2004WS/GSD2004WS.pdf;Datasheet/diodes/switching/GSD2004WS/GSD2004WS.zip
GSD2004WS-G;Enlarge;SOD-323;300;100 at 240;0.87 at 20;50;Single;Yes;image/diodes/85415.png;Datasheet/diodes/switching/GSD2004WS-G/GSD2004WS-G.pdf;Datasheet/diodes/switching/GSD2004WS-G/GSD2004WS-G.zip
IMBD4148;Enlarge;SOT-23;;100 at 70;1.0 at 10;4;Single;Yes;image/diodes/86390.png;Datasheet/diodes/switching/IMBD4148/IMBD4148.pdf;Datasheet/diodes/switching/IMBD4148/IMBD4148.zip
IMBD4148-G;Enlarge;SOT-23;;100 at 70;1.0 at 10;4;Single;Yes;image/diodes/86391.png;Datasheet/diodes/switching/IMBD4148-G/IMBD4148-G.pdf;Datasheet/diodes/switching/IMBD4148-G/IMBD4148-G.zip
IMBD4448;Enlarge;SOT-23;;100 at 70;0.72 at 5;4;Common anode;Yes;image/diodes/86392.png;Datasheet/diodes/switching/IMBD4448/IMBD4448.pdf;Datasheet/diodes/switching/IMBD4448/IMBD4448.zip
IMBD4448-G;Enlarge;SOT-23;;100 at 70;0.72 at 5;4;Common anode;Yes;image/diodes/86393.png;Datasheet/diodes/switching/IMBD4448-G/IMBD4448-G.pdf;Datasheet/diodes/switching/IMBD4448-G/IMBD4448-G.zip
LL4148, LL4448;Enlarge;MiniMELF (SOD-80);100;25 at 20;1 at 50;8;Single;No;image/diodes/85557.png;Datasheet/diodes/switching/LL4148, LL4448/LL4148, LL4448.pdf;Datasheet/diodes/switching/LL4148, LL4448/LL4148, LL4448.zip
LL4148, LL4448;Enlarge;MiniMELF (SOD-80);100;25 at 20;0.720 at 5;8;Single;No;image/diodes/85557.png;Datasheet/diodes/switching/LL4148, LL4448/LL4148, LL4448.pdf;Datasheet/diodes/switching/LL4148, LL4448/LL4148, LL4448.zip
LL4148-M;Enlarge;MiniMELF (SOD-80);100;25 at 20;1 at 50;8;Single;No;image/diodes/81162.png;Datasheet/diodes/switching/LL4148-M/LL4148-M.pdf;Datasheet/diodes/switching/LL4148-M/LL4148-M.zip
LL4150;Enlarge;MiniMELF (SOD-80);50;100 at 50;0.620 at 1;4;Single;No;image/diodes/85558.png;Datasheet/diodes/switching/LL4150/LL4150.pdf;Datasheet/diodes/switching/LL4150/LL4150.zip
LL4150-M;Enlarge;MiniMELF (SOD-80);50;100 at 50;0.620 at 1;4;Single;No;image/diodes/85905.png;Datasheet/diodes/switching/LL4150-M/LL4150-M.pdf;Datasheet/diodes/switching/LL4150-M/LL4150-M.zip
LL4151;Enlarge;MiniMELF (SOD-80);75;50 at 50;1 at 50;4;Single;No;image/diodes/85559.png;Datasheet/diodes/switching/LL4151/LL4151.pdf;Datasheet/diodes/switching/LL4151/LL4151.zip
LL4151-M;Enlarge;MiniMELF (SOD-80);75;50 at 50;1 at 50;4;Single;No;image/diodes/85906.png;Datasheet/diodes/switching/LL4151-M/LL4151-M.pdf;Datasheet/diodes/switching/LL4151-M/LL4151-M.zip
LL4154;Enlarge;MiniMELF (SOD-80);35;100 at 25;1 at 30;4;Single;No;image/diodes/85560.png;Datasheet/diodes/switching/LL4154/LL4154.pdf;Datasheet/diodes/switching/LL4154/LL4154.zip
LL4154-M;Enlarge;MiniMELF (SOD-80);35;100 at 25;1 at 30;4;Single;No;image/diodes/85907.png;Datasheet/diodes/switching/LL4154-M/LL4154-M.pdf;Datasheet/diodes/switching/LL4154-M/LL4154-M.zip
LS4148, LS4448;Enlarge;QuadroMELF (SOD-80);100;25 at 20;1 at 50;8;Single;No;image/diodes/85561.png;Datasheet/diodes/switching/LS4148, LS4448/LS4148, LS4448.pdf;None
LS4148, LS4448;Enlarge;QuadroMELF (SOD-80);100;25 at 20;0.720 at 5;8;Single;No;image/diodes/85561.png;Datasheet/diodes/switching/LS4148, LS4448/LS4148, LS4448.pdf;None
LS4150;Enlarge;QuadroMELF (SOD-80);50;100 at 50;0.620 at 1;4;Single;No;image/diodes/85562.png;Datasheet/diodes/switching/LS4150/LS4150.pdf;None
LS4151;Enlarge;QuadroMELF (SOD-80);75;50 at 50;1 at 50;4;Single;No;image/diodes/85563.png;Datasheet/diodes/switching/LS4151/LS4151.pdf;None
