Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V);IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;Snap factor;AEC-Q101Qualified;Image path;Datasheet part;3d model part
AS1PD;Enlarge;200;1.5;0.89;30;;175;SMP (DO-220AA);Single;;Yes;image/diodes/89290.png;Datasheet/diodes/standard-recovery/AS1PD/AS1PD.pdf;Datasheet/diodes/standard-recovery/AS1PD/AS1PD.zip
AS1PG;Enlarge;400;1.5;0.89;30;;175;SMP (DO-220AA);Single;;Yes;image/diodes/89290.png;Datasheet/diodes/standard-recovery/AS1PG/AS1PG.pdf;Datasheet/diodes/standard-recovery/AS1PG/AS1PG.zip
AS1PJ;Enlarge;600;1.5;0.89;30;;175;SMP (DO-220AA);Single;;Yes;image/diodes/89290.png;Datasheet/diodes/standard-recovery/AS1PJ/AS1PJ.pdf;Datasheet/diodes/standard-recovery/AS1PJ/AS1PJ.zip
AS1PK;Enlarge;800;1.5;0.89;30;;175;SMP (DO-220AA);Single;;Yes;image/diodes/89290.png;Datasheet/diodes/standard-recovery/AS1PK/AS1PK.pdf;Datasheet/diodes/standard-recovery/AS1PK/AS1PK.zip
AS1PM;Enlarge;1000;1.5;0.89;30;;175;SMP (DO-220AA);Single;;Yes;image/diodes/89290.png;Datasheet/diodes/standard-recovery/AS1PM/AS1PM.pdf;Datasheet/diodes/standard-recovery/AS1PM/AS1PM.zip
AS3BD;Enlarge;200;3;0.86;90;;175;SMB (DO-214AA);Single;;Yes;image/diodes/89377.png;Datasheet/diodes/standard-recovery/AS3BD/AS3BD.pdf;Datasheet/diodes/standard-recovery/AS3BD/AS3BD.zip
AS3BG;Enlarge;400;3;0.86;90;;175;SMB (DO-214AA);Single;;Yes;image/diodes/89377.png;Datasheet/diodes/standard-recovery/AS3BG/AS3BG.pdf;Datasheet/diodes/standard-recovery/AS3BG/AS3BG.zip
AS3BJ;Enlarge;600;3;0.86;90;;175;SMB (DO-214AA);Single;;Yes;image/diodes/89377.png;Datasheet/diodes/standard-recovery/AS3BJ/AS3BJ.pdf;Datasheet/diodes/standard-recovery/AS3BJ/AS3BJ.zip
AS3PD;Enlarge;200;3;0.90;70;;175;SMPC (TO-277A);Single;;Yes;image/diodes/88837.png;Datasheet/diodes/standard-recovery/AS3PD/AS3PD.pdf;None
AS3PG;Enlarge;400;3;0.90;70;;175;SMPC (TO-277A);Single;;Yes;image/diodes/88837.png;Datasheet/diodes/standard-recovery/AS3PG/AS3PG.pdf;None
AS3PJ;Enlarge;600;3;0.90;70;;175;SMPC (TO-277A);Single;;Yes;image/diodes/88837.png;Datasheet/diodes/standard-recovery/AS3PJ/AS3PJ.pdf;None
AS3PK;Enlarge;800;3;0.90;70;;175;SMPC (TO-277A);Single;;Yes;image/diodes/88837.png;Datasheet/diodes/standard-recovery/AS3PK/AS3PK.pdf;None
AS3PM;Enlarge;1000;3;0.90;70;;175;SMPC (TO-277A);Single;;Yes;image/diodes/88837.png;Datasheet/diodes/standard-recovery/AS3PM/AS3PM.pdf;None
AS4PD;Enlarge;200;4;0.92;100;;175;SMPC (TO-277A);Single;;Yes;image/diodes/88770.png;Datasheet/diodes/standard-recovery/AS4PD/AS4PD.pdf;None
AS4PG;Enlarge;400;4;0.92;100;;175;SMPC (TO-277A);Single;;Yes;image/diodes/88770.png;Datasheet/diodes/standard-recovery/AS4PG/AS4PG.pdf;None
AS4PJ;Enlarge;600;4;0.92;100;;175;SMPC (TO-277A);Single;;Yes;image/diodes/88770.png;Datasheet/diodes/standard-recovery/AS4PJ/AS4PJ.pdf;None
AS4PK;Enlarge;800;4;0.92;100;;175;SMPC (TO-277A);Single;;Yes;image/diodes/88770.png;Datasheet/diodes/standard-recovery/AS4PK/AS4PK.pdf;None
AS4PM;Enlarge;1000;4;0.92;100;;175;SMPC (TO-277A);Single;;Yes;image/diodes/88770.png;Datasheet/diodes/standard-recovery/AS4PM/AS4PM.pdf;None
BA157;Enlarge;400;1;1.3;20;150;125;DO-41 (DO-204AL);Single;;No;image/diodes/88536.png;Datasheet/diodes/standard-recovery/BA157/BA157.pdf;Datasheet/diodes/standard-recovery/BA157/BA157.zip
BA158;Enlarge;600;1;1.3;20;150;125;DO-41 (DO-204AL);Single;;No;image/diodes/88536.png;Datasheet/diodes/standard-recovery/BA158/BA158.pdf;Datasheet/diodes/standard-recovery/BA158/BA158.zip
BA159;Enlarge;1000;1;1.3;20;150;125;DO-41 (DO-204AL);Single;;No;image/diodes/88536.png;Datasheet/diodes/standard-recovery/BA159/BA159.pdf;Datasheet/diodes/standard-recovery/BA159/BA159.zip
BA159D;Enlarge;800;1;1.3;20;150;125;DO-41 (DO-204AL);Single;;No;image/diodes/88536.png;Datasheet/diodes/standard-recovery/BA159D/BA159D.pdf;Datasheet/diodes/standard-recovery/BA159D/BA159D.zip
BY203-12S;Enlarge;1200;0.25;2.4 at 0.2;20;300;150;SOD-57;;;No;image/diodes/86002.png;Datasheet/diodes/standard-recovery/BY203-12S/BY203-12S.pdf;Datasheet/diodes/standard-recovery/BY203-12S/BY203-12S.zip
BY203-16S;Enlarge;1600;0.25;2.4 at 0.2;20;300;150;SOD-57;;;No;image/diodes/86002.png;Datasheet/diodes/standard-recovery/BY203-16S/BY203-16S.pdf;Datasheet/diodes/standard-recovery/BY203-16S/BY203-16S.zip
BY203-20S;Enlarge;2000;0.25;2.4 at 0.2;20;300;150;SOD-57;;;No;image/diodes/86002.png;Datasheet/diodes/standard-recovery/BY203-20S/BY203-20S.pdf;Datasheet/diodes/standard-recovery/BY203-20S/BY203-20S.zip
BY228;Enlarge;1500;3;1.5 at 5;50;2000;140;SOD-64;;;No;image/diodes/86003.png;Datasheet/diodes/standard-recovery/BY228/BY228.pdf;Datasheet/diodes/standard-recovery/BY228/BY228.zip
BY228-13;Enlarge;1000;3;1.5 at 5;50;2000;140;SOD-64;;;No;image/diodes/86004.png;Datasheet/diodes/standard-recovery/BY228-13/BY228-13.pdf;Datasheet/diodes/standard-recovery/BY228-13/BY228-13.zip
BY228-15;Enlarge;1200;3;1.5 at 5;50;2000;140;SOD-64;;;No;image/diodes/86004.png;Datasheet/diodes/standard-recovery/BY228-15/BY228-15.pdf;Datasheet/diodes/standard-recovery/BY228-15/BY228-15.zip
BY251P;Enlarge;200;3;1.1;150;;150;DO-201AD;Single die;;No;image/diodes/88838.png;Datasheet/diodes/standard-recovery/BY251P/BY251P.pdf;None
BY252P;Enlarge;400;3;1.1;150;;150;DO-201AD;Single die;;No;image/diodes/88838.png;Datasheet/diodes/standard-recovery/BY252P/BY252P.pdf;None
BY253P;Enlarge;600;3;1.1;150;;150;DO-201AD;Single die;;No;image/diodes/88838.png;Datasheet/diodes/standard-recovery/BY253P/BY253P.pdf;None
BY254P;Enlarge;800;3;1.1;150;;150;DO-201AD;Single die;;No;image/diodes/88838.png;Datasheet/diodes/standard-recovery/BY254P/BY254P.pdf;None
BY255P;Enlarge;1300;3;1.1;150;;150;DO-201AD;Single die;;No;image/diodes/88838.png;Datasheet/diodes/standard-recovery/BY255P/BY255P.pdf;None
BY268;Enlarge;1400;0.8;1.25 at 0.4;20;400;175;SOD-57;;;No;image/diodes/86005.png;Datasheet/diodes/standard-recovery/BY268/BY268.pdf;Datasheet/diodes/standard-recovery/BY268/BY268.zip
BY269;Enlarge;1600;0.8;1.25 at 0.4;20;400;175;SOD-57;;;No;image/diodes/86005.png;Datasheet/diodes/standard-recovery/BY269/BY269.pdf;Datasheet/diodes/standard-recovery/BY269/BY269.zip
BY448;Enlarge;1500;2;1.6 at 3;30;2000;140;SOD-57;;;No;image/diodes/86006.png;Datasheet/diodes/standard-recovery/BY448/BY448.pdf;Datasheet/diodes/standard-recovery/BY448/BY448.zip
BY458;Enlarge;1200;2;1.6 at 3;30;2000;140;SOD-57;;;No;image/diodes/86006.png;Datasheet/diodes/standard-recovery/BY458/BY458.pdf;Datasheet/diodes/standard-recovery/BY458/BY458.zip
BY527;Enlarge;800;2;1 at 1;50;4000;175;SOD-57;;;No;image/diodes/86007.png;Datasheet/diodes/standard-recovery/BY527/BY527.pdf;Datasheet/diodes/standard-recovery/BY527/BY527.zip
BYG10D;Enlarge;200;1.5;1.15;30;;150;SMA (DO-214AC);Single;;Yes;image/diodes/88957.png;Datasheet/diodes/standard-recovery/BYG10D/BYG10D.pdf;Datasheet/diodes/standard-recovery/BYG10D/BYG10D.zip
BYG10G;Enlarge;400;1.5;1.15;30;;150;SMA (DO-214AC);Single;;Yes;image/diodes/88957.png;Datasheet/diodes/standard-recovery/BYG10G/BYG10G.pdf;Datasheet/diodes/standard-recovery/BYG10G/BYG10G.zip
BYG10J;Enlarge;600;1.5;1.15;30;;150;SMA (DO-214AC);Single;;Yes;image/diodes/88957.png;Datasheet/diodes/standard-recovery/BYG10J/BYG10J.pdf;Datasheet/diodes/standard-recovery/BYG10J/BYG10J.zip
BYG10K;Enlarge;800;1.5;1.15;30;;150;SMA (DO-214AC);Single;;Yes;image/diodes/88957.png;Datasheet/diodes/standard-recovery/BYG10K/BYG10K.pdf;Datasheet/diodes/standard-recovery/BYG10K/BYG10K.zip
BYG10M;Enlarge;1000;1.5;1.15;30;;150;SMA (DO-214AC);Single;;Yes;image/diodes/88957.png;Datasheet/diodes/standard-recovery/BYG10M/BYG10M.pdf;Datasheet/diodes/standard-recovery/BYG10M/BYG10M.zip
BYG10Y;Enlarge;1600;1.5;1.15;30;;150;SMA (DO-214AC);Single;;Yes;image/diodes/88957.png;Datasheet/diodes/standard-recovery/BYG10Y/BYG10Y.pdf;Datasheet/diodes/standard-recovery/BYG10Y/BYG10Y.zip
BYG21K;Enlarge;800;1.5;1.6;30;120;150;SMA (DO-214AC);Single;;Yes;image/diodes/88961.png;Datasheet/diodes/standard-recovery/BYG21K/BYG21K.pdf;Datasheet/diodes/standard-recovery/BYG21K/BYG21K.zip
BYG21M;Enlarge;1000;1.5;1.6;30;120;150;SMA (DO-214AC);Single;;Yes;image/diodes/88961.png;Datasheet/diodes/standard-recovery/BYG21M/BYG21M.pdf;Datasheet/diodes/standard-recovery/BYG21M/BYG21M.zip
BYG24D;Enlarge;200;1.5;1.25;30;140;150;SMA (DO-214AC);Single;;Yes;image/diodes/88960.png;Datasheet/diodes/standard-recovery/BYG24D/BYG24D.pdf;Datasheet/diodes/standard-recovery/BYG24D/BYG24D.zip
BYG24G;Enlarge;400;1.5;1.25;30;140;150;SMA (DO-214AC);Single;;Yes;image/diodes/88960.png;Datasheet/diodes/standard-recovery/BYG24G/BYG24G.pdf;Datasheet/diodes/standard-recovery/BYG24G/BYG24G.zip
BYG24J;Enlarge;600;1.5;1.25;30;140;150;SMA (DO-214AC);Single;;Yes;image/diodes/88960.png;Datasheet/diodes/standard-recovery/BYG24J/BYG24J.pdf;Datasheet/diodes/standard-recovery/BYG24J/BYG24J.zip
BYM10-xxx;Enlarge;50 to 1000;1;see datasheet;30;;175;MELF (DO-213AB);Single;;No;image/diodes/88546.png;Datasheet/diodes/standard-recovery/BYM10-xxx/BYM10-xxx.pdf;Datasheet/diodes/standard-recovery/BYM10-xxx/BYM10-xxx.zip
BYM10-xxx;Enlarge;50 to 1600;1;see datasheet;30;;175;MELF (DO-213AB);Single;;No;image/diodes/88546.png;Datasheet/diodes/standard-recovery/BYM10-xxx/BYM10-xxx.pdf;Datasheet/diodes/standard-recovery/BYM10-xxx/BYM10-xxx.zip
BYM11-xxx;Enlarge;50 to 1000;1;1.3;30;150;175;GL41 (DO-213AB);Single;;No;image/diodes/88547.png;Datasheet/diodes/standard-recovery/BYM11-xxx/BYM11-xxx.pdf;Datasheet/diodes/standard-recovery/BYM11-xxx/BYM11-xxx.zip
BYM36A;Enlarge;200;3;1.6 at 3;65;100;175;SOD-64;;;No;image/diodes/86012.png;Datasheet/diodes/standard-recovery/BYM36A/BYM36A.pdf;Datasheet/diodes/standard-recovery/BYM36A/BYM36A.zip
BYM36B;Enlarge;400;3;1.6 at 3;65;100;175;SOD-64;;;No;image/diodes/86012.png;Datasheet/diodes/standard-recovery/BYM36B/BYM36B.pdf;Datasheet/diodes/standard-recovery/BYM36B/BYM36B.zip
