Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V at A);IFSM(A);IRM(mA);TJmax.(°C);Package (JEDEC®) Code;Circuit Configuration;AEC-Q101Qualified;Image path;Datasheet part;3d model part
V10KM120DU;;120;2 x 5;0.62;100;;175;FlatPAK 5 x 6;Separated cathode;Yes;image/diodes\87490.png;Datasheet\diodes\V10KM120DU\V10KM120DU.pdf;Datasheet\diodes\V10KM120DU\V10KM120DU.zip
V10KM150C;Enlarge;150;2 x 5;0.63;100;;175;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\89006.png;Datasheet\diodes\V10KM150C\V10KM150C.pdf;None
V10KM45C;Enlarge;45;2 x 5;0.42;100;;175;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\98455.png;Datasheet\diodes\V10KM45C\V10KM45C.pdf;Datasheet\diodes\V10KM45C\V10KM45C.zip
V10KM45DU;Enlarge;45;2 x 5;0.44;100;;175;FlatPAK 5 x 6;Separated cathode;Yes;image/diodes\89171.png;Datasheet\diodes\V10KM45DU\V10KM45DU.pdf;Datasheet\diodes\V10KM45DU\V10KM45DU.zip
V10KM60C;Enlarge;60;2 x 5;0.47;100;;175;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87621.png;Datasheet\diodes\V10KM60C\V10KM60C.pdf;Datasheet\diodes\V10KM60C\V10KM60C.zip
V10P10;Enlarge;100;10;0.574;180;;150;SMPC (TO-277A);Single;Yes;image/diodes\89316.png;Datasheet\diodes\V10P10\V10P10.pdf;Datasheet\diodes\V10P10\V10P10.zip
V10P103;Enlarge;100;10;0.53;180;;150;SMPC (TO-277A);Single;Yes;image/diodes\87002.png;Datasheet\diodes\V10P103\V10P103.pdf;Datasheet\diodes\V10P103\V10P103.zip
V10P12;Enlarge;120;10;0.62;160;;150;SMPC (TO-277A);Single;Yes;image/diodes\98170.png;Datasheet\diodes\V10P12\V10P12.pdf;Datasheet\diodes\V10P12\V10P12.zip
V10P15;Enlarge;150;10;0.66;180;;150;SMPC (TO-277A);Single;Yes;image/diodes\89340.png;Datasheet\diodes\V10P15\V10P15.pdf;Datasheet\diodes\V10P15\V10P15.zip
V10P20;Enlarge;200;10;0.67;180;;150;SMPC (TO-277A);Single;No;image/diodes\89341.png;Datasheet\diodes\V10P20\V10P20.pdf;Datasheet\diodes\V10P20\V10P20.zip
V10P22;Enlarge;200;10;0.68;180;;175;SMPC (TO-277A);Single;Yes;image/diodes\87711.png;Datasheet\diodes\V10P22\V10P22.pdf;Datasheet\diodes\V10P22\V10P22.zip
V10P22C;Enlarge;200;2 x 5.0;0.69;90;;175;SMPC (TO-277A);Common cathode;Yes;image/diodes\87712.png;Datasheet\diodes\V10P22C\V10P22C.pdf;Datasheet\diodes\V10P22C\V10P22C.zip
V10P45;Enlarge;45;10;0.41;180;;150;SMPC (TO-277A);Single;Yes;image/diodes\89479.png;Datasheet\diodes\V10P45\V10P45.pdf;Datasheet\diodes\V10P45\V10P45.zip
V10P45S-M3;Enlarge;45;10;0.41;180;;150;SMPC (TO-277A);Single;No;image/diodes\98225.png;Datasheet\diodes\V10P45S-M3\V10P45S-M3.pdf;Datasheet\diodes\V10P45S-M3\V10P45S-M3.zip
V10P6;Enlarge;60;10;0.44;180;;150;SMPC (TO-277A);Single;Yes;image/diodes\87628.png;Datasheet\diodes\V10P6\V10P6.pdf;Datasheet\diodes\V10P6\V10P6.zip
V10P8;Enlarge;80;10;0.56;180;;150;SMPC (TO-277A);Single;Yes;image/diodes\98451.png;Datasheet\diodes\V10P8\V10P8.pdf;Datasheet\diodes\V10P8\V10P8.zip
V10PL45-M3;Enlarge;45;10;0.35;200;;150;SMPC (TO-277A);Single;No;image/diodes\89937.png;Datasheet\diodes\V10PL45-M3\V10PL45-M3.pdf;Datasheet\diodes\V10PL45-M3\V10PL45-M3.zip
V10PL63;Enlarge;60;10;0.47;180;;150;SMPC (TO-277A);Single;Yes;image/diodes\87432.png;Datasheet\diodes\V10PL63\V10PL63.pdf;Datasheet\diodes\V10PL63\V10PL63.zip
V10PM10;Enlarge;100;10;0.61;180;;175;SMPC (TO-277A);Single;Yes;image/diodes\87204.png;Datasheet\diodes\V10PM10\V10PM10.pdf;Datasheet\diodes\V10PM10\V10PM10.zip
V10PM103;Enlarge;100;10;0.54;180;;175;SMPC (TO-277A);Single;Yes;image/diodes\87433.png;Datasheet\diodes\V10PM103\V10PM103.pdf;None
V10PM12;Enlarge;120;10;0.63;160;;175;SMPC (TO-277A);Single;Yes;image/diodes\87431.png;Datasheet\diodes\V10PM12\V10PM12.pdf;Datasheet\diodes\V10PM12\V10PM12.zip
V10PM15;Enlarge;150;10;0.66;180;;175;SMPC (TO-277A);Single;Yes;image/diodes\87026.png;Datasheet\diodes\V10PM15\V10PM15.pdf;Datasheet\diodes\V10PM15\V10PM15.zip
V10PM153;Enlarge;150;10;0.61;180;;175;SMPC (TO-277A);Single;Yes;image/diodes\89965.png;Datasheet\diodes\V10PM153\V10PM153.pdf;None
V10PM45;Enlarge;45;10;0.46;180;;175;SMPC (TO-277A);Single;Yes;image/diodes\98183.png;Datasheet\diodes\V10PM45\V10PM45.pdf;Datasheet\diodes\V10PM45\V10PM45.zip
V10PM6;Enlarge;60;10;0.52;180;;175;SMPC (TO-277A);Single;Yes;image/diodes\98206.png;Datasheet\diodes\V10PM6\V10PM6.pdf;None
V10PM63;Enlarge;60;10;0.52;180;;175;SMPC (TO-277A);Single;Yes;image/diodes\98187.png;Datasheet\diodes\V10PM63\V10PM63.pdf;None
V10PN50-M3;Enlarge;50;10;0.40;180;;150;SMPC (TO-277A);Single;No;image/diodes\98207.png;Datasheet\diodes\V10PN50-M3\V10PN50-M3.pdf;Datasheet\diodes\V10PN50-M3\V10PN50-M3.zip
V10PW10;Enlarge;100;10;0.58;180;;150;SlimDPAK (TO-252AE);Single;Yes;image/diodes\98179.png;Datasheet\diodes\V10PW10\V10PW10.pdf;None
V10PW10C;Enlarge;100;2 x 5;0.6;80;;150;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\98208.png;Datasheet\diodes\V10PW10C\V10PW10C.pdf;None
V10PW12;Enlarge;120;10;0.61;180;;150;SlimDPAK (TO-252AE);Single;Yes;image/diodes\98175.png;Datasheet\diodes\V10PW12\V10PW12.pdf;None
V10PW12C;Enlarge;120;2 x 5;0.62;80;;150;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\98209.png;Datasheet\diodes\V10PW12C\V10PW12C.pdf;None
V10PW60;Enlarge;60;10;0.45;180;;150;SlimDPAK (TO-252AE);Single;Yes;image/diodes\98254.png;Datasheet\diodes\V10PW60\V10PW60.pdf;None
V10PW60C;Enlarge;60;2 x 5;0.48;80;;150;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\98260.png;Datasheet\diodes\V10PW60C\V10PW60C.pdf;None
V10PWL45;Enlarge;45;10;0.38;180;;150;SlimDPAK (TO-252AE);Single;Yes;image/diodes\98184.png;Datasheet\diodes\V10PWL45\V10PWL45.pdf;None
V10PWL45C;Enlarge;45;2 x 5;0.38;80;;150;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\98210.png;Datasheet\diodes\V10PWL45C\V10PWL45C.pdf;None
V10PWL63;Enlarge;60;10;0.45;180;;150;SlimDPAK (TO-252AE);Single;Yes;image/diodes\98188.png;Datasheet\diodes\V10PWL63\V10PWL63.pdf;None
V10PWL63C;Enlarge;60;2 x 5;0.48;80;;150;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\98211.png;Datasheet\diodes\V10PWL63C\V10PWL63C.pdf;Datasheet\diodes\V10PWL63C\V10PWL63C.zip
V10PWM10;Enlarge;100;10;0.58;180;;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\98166.png;Datasheet\diodes\V10PWM10\V10PWM10.pdf;Datasheet\diodes\V10PWM10\V10PWM10.zip
V10PWM10C;Enlarge;100;2 x 5;0.6;80;;175;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\98163.png;Datasheet\diodes\V10PWM10C\V10PWM10C.pdf;None
V10PWM12;Enlarge;120;10;0.62;180;;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\98176.png;Datasheet\diodes\V10PWM12\V10PWM12.pdf;None
V10PWM12C;Enlarge;120;2 x 5;0.63;80;;175;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\98212.png;Datasheet\diodes\V10PWM12C\V10PWM12C.pdf;None
V10PWM153;Enlarge;150;10;0.61;180;;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\98180.png;Datasheet\diodes\V10PWM153\V10PWM153.pdf;Datasheet\diodes\V10PWM153\V10PWM153.zip
V10PWM153C;Enlarge;150;2 x 5;0.63;80;;175;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\98213.png;Datasheet\diodes\V10PWM153C\V10PWM153C.pdf;Datasheet\diodes\V10PWM153C\V10PWM153C.zip
V10PWM45;Enlarge;45;10;0.46;180;;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\98255.png;Datasheet\diodes\V10PWM45\V10PWM45.pdf;None
V10PWM45C;Enlarge;45;2 x 5;0.45;80;;175;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\98261.png;Datasheet\diodes\V10PWM45C\V10PWM45C.pdf;Datasheet\diodes\V10PWM45C\V10PWM45C.zip
V10PWM60;Enlarge;60;10;0.49;180;;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\88981.png;Datasheet\diodes\V10PWM60\V10PWM60.pdf;None
V10PWM60C;Enlarge;60;2 x 5;0.51;80;;175;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\98456.png;Datasheet\diodes\V10PWM60C\V10PWM60C.pdf;Datasheet\diodes\V10PWM60C\V10PWM60C.zip
V10PWM63;Enlarge;60;10;0.52;180;;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\89094.png;Datasheet\diodes\V10PWM63\V10PWM63.pdf;Datasheet\diodes\V10PWM63\V10PWM63.zip
V10PWM63C;Enlarge;60;2 x 5;0.54;80;;175;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\87622.png;Datasheet\diodes\V10PWM63C\V10PWM63C.pdf;None
V12P10;Enlarge;100;12;0.58;200;;150;SMPC (TO-277A);Single;Yes;image/diodes\87019.png;Datasheet\diodes\V12P10\V12P10.pdf;Datasheet\diodes\V12P10\V12P10.zip
V12P103;Enlarge;100;12;0.52;200;;150;SMPC (TO-277A);Single;Yes;image/diodes\87715.png;Datasheet\diodes\V12P103\V12P103.pdf;Datasheet\diodes\V12P103\V12P103.zip
V12P12;Enlarge;120;12;0.63;150;;150;SMPC (TO-277A);Single;Yes;image/diodes\87713.png;Datasheet\diodes\V12P12\V12P12.pdf;Datasheet\diodes\V12P12\V12P12.zip
V12P15;Enlarge;150;12;0.66;200;;150;SMPC (TO-277A);Single;Yes;image/diodes\87714.png;Datasheet\diodes\V12P15\V12P15.pdf;Datasheet\diodes\V12P15\V12P15.zip
V12P22;Enlarge;200;12;0.68;200;;175;SMPC (TO-277A);Single;Yes;image/diodes\98226.png;Datasheet\diodes\V12P22\V12P22.pdf;Datasheet\diodes\V12P22\V12P22.zip
V12P45;Enlarge;45;12;0.41;200;;150;SMPC (TO-277A);Single;Yes;image/diodes\87629.png;Datasheet\diodes\V12P45\V12P45.pdf;Datasheet\diodes\V12P45\V12P45.zip
V12P6;Enlarge;60;12;0.46;200;;150;SMPC (TO-277A);Single;Yes;image/diodes\98452.png;Datasheet\diodes\V12P6\V12P6.pdf;Datasheet\diodes\V12P6\V12P6.zip
V12P8;Enlarge;80;12;0.54;200;;150;SMPC (TO-277A);Single;Yes;image/diodes\89938.png;Datasheet\diodes\V12P8\V12P8.pdf;Datasheet\diodes\V12P8\V12P8.zip
V12PL63;Enlarge;60;12;0.45;200;;150;SMPC (TO-277A);Single;Yes;image/diodes\87438.png;Datasheet\diodes\V12PL63\V12PL63.pdf;None
V12PM10;Enlarge;100;12;0.61;200;;175;SMPC (TO-277A);Single;Yes;image/diodes\87205.png;Datasheet\diodes\V12PM10\V12PM10.pdf;Datasheet\diodes\V12PM10\V12PM10.zip
V12PM103;Enlarge;100;12;0.54;200;;175;SMPC (TO-277A);Single;Yes;image/diodes\87439.png;Datasheet\diodes\V12PM103\V12PM103.pdf;None
V12PM12;Enlarge;120;12;0.63;160;;175;SMPC (TO-277A);Single;Yes;image/diodes\87437.png;Datasheet\diodes\V12PM12\V12PM12.pdf;Datasheet\diodes\V12PM12\V12PM12.zip
V12PM15;Enlarge;150;12;0.66;200;;175;SMPC (TO-277A);Single;Yes;image/diodes\87027.png;Datasheet\diodes\V12PM15\V12PM15.pdf;None
V12PM153;Enlarge;150;12;0.62;200;;175;SMPC (TO-277A);Single;Yes;image/diodes\87483.png;Datasheet\diodes\V12PM153\V12PM153.pdf;None
V12PM45;Enlarge;45;12;0.46;200;;175;SMPC (TO-277A);Single;Yes;image/diodes\87484.png;Datasheet\diodes\V12PM45\V12PM45.pdf;None
V12PM6;Enlarge;60;12;0.52;200;;175;SMPC (TO-277A);Single;Yes;image/diodes\87485.png;Datasheet\diodes\V12PM6\V12PM6.pdf;None
V12PM63;Enlarge;60;12;0.52;200;;175;SMPC (TO-277A);Single;Yes;image/diodes\98154.png;Datasheet\diodes\V12PM63\V12PM63.pdf;None
V15K100C;Enlarge;100;2 x 7.5;0.55;140;;150;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\98155.png;Datasheet\diodes\V15K100C\V15K100C.pdf;None
V15K120C;Enlarge;120;2 x 7.5;0.6;140;;150;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87482.png;Datasheet\diodes\V15K120C\V15K120C.pdf;None
V15K150C;Enlarge;150;2 x 7.5;0.63;140;;150;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87481.png;Datasheet\diodes\V15K150C\V15K150C.pdf;None
V15K170C;Enlarge;170;2 x 7.5;0.66;130;;150;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87496.png;Datasheet\diodes\V15K170C\V15K170C.pdf;None
V15K202C;Enlarge;200;2 x 7.5;0.66;130;;150;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87497.png;Datasheet\diodes\V15K202C\V15K202C.pdf;None
V15K60C;Enlarge;60;2 x 7.5;0.44;140;;150;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87498.png;Datasheet\diodes\V15K60C\V15K60C.pdf;None
V15KL45C;Enlarge;45;2 x 7.5;0.36;140;;150;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87494.png;Datasheet\diodes\V15KL45C\V15KL45C.pdf;None
V15KM100C;Enlarge;100;2 x 7.5;0.56;140;;175;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87495.png;Datasheet\diodes\V15KM100C\V15KM100C.pdf;Datasheet\diodes\V15KM100C\V15KM100C.zip
V15KM120C;Enlarge;120;2 x 7.5;0.6;140;;175;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87623.png;Datasheet\diodes\V15KM120C\V15KM120C.pdf;None
V15KM150C;Enlarge;150;2 x 7.5;0.63;140;;175;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\98457.png;Datasheet\diodes\V15KM150C\V15KM150C.pdf;Datasheet\diodes\V15KM150C\V15KM150C.zip
V15KM45C;Enlarge;45;2 x 7.5;0.42;140;;175;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87625.png;Datasheet\diodes\V15KM45C\V15KM45C.pdf;Datasheet\diodes\V15KM45C\V15KM45C.zip
V15KM60C;Enlarge;60;2 x 7.5;0.47;140;;175;FlatPAK 5 x 6;Common cathode;Yes;image/diodes\87627.png;Datasheet\diodes\V15KM60C\V15KM60C.pdf;None
V15P10;Enlarge;100;15;0.60;220;;150;SMPC (TO-277A);Single;Yes;image/diodes\87020.png;Datasheet\diodes\V15P10\V15P10.pdf;Datasheet\diodes\V15P10\V15P10.zip
V15P103;Enlarge;100;15;0.54;220;;150;SMPC (TO-277A);Single;Yes;image/diodes\89342.png;Datasheet\diodes\V15P103\V15P103.pdf;Datasheet\diodes\V15P103\V15P103.zip
V15P12;Enlarge;120;15;0.63;220;;150;SMPC (TO-277A);Single;Yes;image/diodes\89343.png;Datasheet\diodes\V15P12\V15P12.pdf;Datasheet\diodes\V15P12\V15P12.zip
V15P15;Enlarge;150;15;0.66;220;;150;SMPC (TO-277A);Single;Yes;image/diodes\87716.png;Datasheet\diodes\V15P15\V15P15.pdf;Datasheet\diodes\V15P15\V15P15.zip
V15P22;Enlarge;200;15;0.69;220;;175;SMPC (TO-277A);Single;Yes;image/diodes\87717.png;Datasheet\diodes\V15P22\V15P22.pdf;Datasheet\diodes\V15P22\V15P22.zip
V15P45;Enlarge;45;15;0.42;210;;150;SMPC (TO-277A);Single;Yes;image/diodes\87990.png;Datasheet\diodes\V15P45\V15P45.pdf;Datasheet\diodes\V15P45\V15P45.zip
V15P45S-M3;Enlarge;45;15;0.42;210;;150;SMPC (TO-277A);Single;No;image/diodes\98227.png;Datasheet\diodes\V15P45S-M3\V15P45S-M3.pdf;Datasheet\diodes\V15P45S-M3\V15P45S-M3.zip
V15P6;Enlarge;60;15;0.48;220;;150;SMPC (TO-277A);Single;Yes;image/diodes\87624.png;Datasheet\diodes\V15P6\V15P6.pdf;Datasheet\diodes\V15P6\V15P6.zip
V15P8;Enlarge;80;15;0.55;220;;150;SMPC (TO-277A);Single;Yes;image/diodes\98453.png;Datasheet\diodes\V15P8\V15P8.pdf;Datasheet\diodes\V15P8\V15P8.zip
V15PL50;Enlarge;50;15;0.40;200;;150;SMPC (TO-277A);Single;No;image/diodes\87626.png;Datasheet\diodes\V15PL50\V15PL50.pdf;Datasheet\diodes\V15PL50\V15PL50.zip
V15PL63;Enlarge;60;15;0.48;220;;150;SMPC (TO-277A);Single;Yes;image/diodes\87435.png;Datasheet\diodes\V15PL63\V15PL63.pdf;Datasheet\diodes\V15PL63\V15PL63.zip
V15PM10;Enlarge;100;15;0.61;220;;175;SMPC (TO-277A);Single;Yes;image/diodes\87206.png;Datasheet\diodes\V15PM10\V15PM10.pdf;Datasheet\diodes\V15PM10\V15PM10.zip
V15PM103;Enlarge;100;15;0.56;220;;175;SMPC (TO-277A);Single;Yes;image/diodes\87436.png;Datasheet\diodes\V15PM103\V15PM103.pdf;None
V15PM12;Enlarge;120;15;0.63;220;;175;SMPC (TO-277A);Single;Yes;image/diodes\87434.png;Datasheet\diodes\V15PM12\V15PM12.pdf;Datasheet\diodes\V15PM12\V15PM12.zip
V15PM15;Enlarge;150;15;0.66;220;;175;SMPC (TO-277A);Single;Yes;image/diodes\87028.png;Datasheet\diodes\V15PM15\V15PM15.pdf;Datasheet\diodes\V15PM15\V15PM15.zip
V15PM153;Enlarge;150;15;0.62;220;;175;SMPC (TO-277A);Single;Yes;image/diodes\89966.png;Datasheet\diodes\V15PM153\V15PM153.pdf;None
V15PM45;Enlarge;45;15;0.52;220;;175;SMPC (TO-277A);Single;Yes;image/diodes\87474.png;Datasheet\diodes\V15PM45\V15PM45.pdf;Datasheet\diodes\V15PM45\V15PM45.zip
V15PM6;Enlarge;60;15;0.52;220;;175;SMPC (TO-277A);Single;Yes;image/diodes\87555.png;Datasheet\diodes\V15PM6\V15PM6.pdf;Datasheet\diodes\V15PM6\V15PM6.zip
V15PM63;Enlarge;60;15;0.55;220;;175;SMPC (TO-277A);Single;Yes;image/diodes\87556.png;Datasheet\diodes\V15PM63\V15PM63.pdf;Datasheet\diodes\V15PM63\V15PM63.zip
V15PN50-M3;Enlarge;50;15;0.41;200;;150;SMPC (TO-277A);Single;No;image/diodes\87557.png;Datasheet\diodes\V15PN50-M3\V15PN50-M3.pdf;Datasheet\diodes\V15PN50-M3\V15PN50-M3.zip
V1F22;Enlarge;200;1;0.64;30;;175;SMF (DO-219AB);Single;Yes;image/diodes\87558.png;Datasheet\diodes\V1F22\V1F22.pdf;None
V1F6;Enlarge;60;1;0.45;30;;150;SMF (DO-219AB);Single;Yes;image/diodes\87559.png;Datasheet\diodes\V1F6\V1F6.pdf;Datasheet\diodes\V1F6\V1F6.zip
V1FL45;Enlarge;45;1;0.36;30;;150;SMF (DO-219AB);Single;Yes;image/diodes\86535.png;Datasheet\diodes\V1FL45\V1FL45.pdf;Datasheet\diodes\V1FL45\V1FL45.zip
V1FM10;Enlarge;100;1;0.59;30;;175;SMF (DO-219AB);Single;Yes;image/diodes\87524.png;Datasheet\diodes\V1FM10\V1FM10.pdf;Datasheet\diodes\V1FM10\V1FM10.zip
V1FM12;Enlarge;120;1;0.61;30;;175;SMF (DO-219AB);Single;Yes;image/diodes\87642.png;Datasheet\diodes\V1FM12\V1FM12.pdf;Datasheet\diodes\V1FM12\V1FM12.zip
V1FM15;Enlarge;150;1;0.64;30;;175;SMF (DO-219AB);Single;Yes;image/diodes\87664.png;Datasheet\diodes\V1FM15\V1FM15.pdf;Datasheet\diodes\V1FM15\V1FM15.zip
V1P22;Enlarge;200;1;0.65;25;;175;MicroSMP (DO-219AD);Single;Yes;image/diodes\87640.png;Datasheet\diodes\V1P22\V1P22.pdf;Datasheet\diodes\V1P22\V1P22.zip
V1P6;Enlarge;60;1;0.45;25;;150;MicroSMP (DO-219AD);Single;Yes;image/diodes\87639.png;Datasheet\diodes\V1P6\V1P6.pdf;Datasheet\diodes\V1P6\V1P6.zip
V1PL45;Enlarge;45;1;0.36;25;;150;MicroSMP (DO-219AD);Single;Yes;image/diodes\89161.png;Datasheet\diodes\V1PL45\V1PL45.pdf;Datasheet\diodes\V1PL45\V1PL45.zip
V1PM10;Enlarge;100;1;0.58;25;;175;MicroSMP (DO-219AD);Single;Yes;image/diodes\88977.png;Datasheet\diodes\V1PM10\V1PM10.pdf;None
V1PM12;Enlarge;120;1;0.61;25;;175;MicroSMP (DO-219AD);Single;Yes;image/diodes\89190.png;Datasheet\diodes\V1PM12\V1PM12.pdf;Datasheet\diodes\V1PM12\V1PM12.zip
V1PM15;Enlarge;150;1;0.64;25;;175;MicroSMP (DO-219AD);Single;Yes;image/diodes\88975.png;Datasheet\diodes\V1PM15\V1PM15.pdf;Datasheet\diodes\V1PM15\V1PM15.zip
V20100C, VI20100C;Enlarge;;;;;;;;;;image/diodes\89153.png;Datasheet\diodes\V20100C, VI20100C\V20100C, VI20100C.pdf;None
V20100C-E3;Enlarge;100;2 x 10;0.58;150;;150;TO-220AB;Common cathode;No;image/diodes\88966.png;Datasheet\diodes\V20100C-E3\V20100C-E3.pdf;None
V20100S;Enlarge;100;20;0.69;250;;150;TO-220AB;Single;No;image/diodes\89159.png;Datasheet\diodes\V20100S\V20100S.pdf;None
V20100S-E3;Enlarge;100;20;0.69;250;;150;TO-220AB;Single;No;image/diodes\89040.png;Datasheet\diodes\V20100S-E3\V20100S-E3.pdf;None
V20100SG;Enlarge;100;20;0.75;150;;150;TO-220AB;Single;No;image/diodes\89243.png;Datasheet\diodes\V20100SG\V20100SG.pdf;None
V20100SG;Enlarge;100;20;0.75;150;;150;TO-220AC;Single;No;image/diodes\88993.png;Datasheet\diodes\V20100SG\V20100SG.pdf;None
V20120C, VI20120C;Enlarge;;;;;;;;;;image/diodes\89244.png;Datasheet\diodes\V20120C, VI20120C\V20120C, VI20120C.pdf;None
V20120C-E3;Enlarge;120;2 x 10;0.64;120;;150;TO-220AB;Common cathode;No;image/diodes\88994.png;Datasheet\diodes\V20120C-E3\V20120C-E3.pdf;None
V20120S;Enlarge;120;20;0.73;200;;150;TO-220AB;Single;No;image/diodes\89151.png;Datasheet\diodes\V20120S\V20120S.pdf;None
V20120S-E3;Enlarge;120;20;0.73;200;;150;TO-220AB;Single;No;image/diodes\89046.png;Datasheet\diodes\V20120S-E3\V20120S-E3.pdf;None
V20120SG;Enlarge;120;20;0.78;150;;150;TO-220AB;Single;No;image/diodes\89247.png;Datasheet\diodes\V20120SG\V20120SG.pdf;None
V20120SG-E3;Enlarge;120;20;0.78;150;;150;TO-220AB;Single;No;image/diodes\89059.png;Datasheet\diodes\V20120SG-E3\V20120SG-E3.pdf;None
V20150C, VI20150C;Enlarge;;;;;;;;;;image/diodes\89248.png;Datasheet\diodes\V20150C, VI20150C\V20150C, VI20150C.pdf;None
V20150C-E3;Enlarge;150;2 x 10;0.69;120;;150;TO-220AB;Common cathode;No;image/diodes\89060.png;Datasheet\diodes\V20150C-E3\V20150C-E3.pdf;None
V20150S;Enlarge;150;20;0.75;160;;150;TO-220AB;Single;No;image/diodes\89117.png;Datasheet\diodes\V20150S\V20150S.pdf;None
V20150S-E3;Enlarge;150;20;0.75;160;;150;TO-220AB;Single;No;image/diodes\87797.png;Datasheet\diodes\V20150S-E3\V20150S-E3.pdf;None
V20150SG;Enlarge;150;20;0.77;140;;150;TO-220AB;Single;No;image/diodes\87798.png;Datasheet\diodes\V20150SG\V20150SG.pdf;None
V20150SG-E3;Enlarge;150;20;0.77;140;;150;TO-220AB;Single;No;image/diodes\87550.png;Datasheet\diodes\V20150SG-E3\V20150SG-E3.pdf;Datasheet\diodes\V20150SG-E3\V20150SG-E3.zip
V20200C-E3;;200;2 x 10;0.68;120;;150;TO-220AB;Common cathode;No;image/diodes\98476.png;Datasheet\diodes\V20200C-E3\V20200C-E3.pdf;None
V20200G-E3;Enlarge;200;2 x 10;0.71;110;;150;TO-220AB;Common cathode;No;image/diodes\87451.png;Datasheet\diodes\V20200G-E3\V20200G-E3.pdf;None
V20202C;Enlarge;200;2 x 10;0.68;150;;175;TO-220AB;Common cathode;No;image/diodes\87747.png;Datasheet\diodes\V20202C\V20202C.pdf;None
V20202G;Enlarge;200;2 x 10;0.71;130;;175;TO-220AB;Common cathode;No;image/diodes\87548.png;Datasheet\diodes\V20202G\V20202G.pdf;Datasheet\diodes\V20202G\V20202G.zip
V20D100C;Enlarge;100;2 x 10;0.63;120;;150;SMPD (TO-263AC);Common cathode;Yes;image/diodes\87549.png;Datasheet\diodes\V20D100C\V20D100C.pdf;Datasheet\diodes\V20D100C\V20D100C.zip
V20D103C;Enlarge;100;2 x 10;0.59;130;;150;SMPD (TO-263AC);Common cathode;Yes;image/diodes\87786.png;Datasheet\diodes\V20D103C\V20D103C.pdf;Datasheet\diodes\V20D103C\V20D103C.zip
V20D170C;Enlarge;170;2 x 10.0;0.68;150;;175;SMPD (TO-263AC);Common cathode;Yes;image/diodes\87787.png;Datasheet\diodes\V20D170C\V20D170C.pdf;None
V20D202C;Enlarge;200;2 x 10.0;0.68;150;;175;SMPD (TO-263AC);Common cathode;Yes;image/diodes\98245.png;Datasheet\diodes\V20D202C\V20D202C.pdf;Datasheet\diodes\V20D202C\V20D202C.zip
V20D45C;Enlarge;45;2 x 10;0.40;120;;150;SMPD (TO-263AC);Common cathode;Yes;image/diodes\87575.png;Datasheet\diodes\V20D45C\V20D45C.pdf;Datasheet\diodes\V20D45C\V20D45C.zip
V20D60C;Enlarge;60;2 x 10;0.49;120;;150;SMPD (TO-263AC);Common cathode;Yes;image/diodes\98478.png;Datasheet\diodes\V20D60C\V20D60C.pdf;Datasheet\diodes\V20D60C\V20D60C.zip
V20DL45;Enlarge;45;20;0.50;160;;150;SMPD (TO-263AC);Single;Yes;image/diodes\87601.png;Datasheet\diodes\V20DL45\V20DL45.pdf;Datasheet\diodes\V20DL45\V20DL45.zip
V20DL45BP;Enlarge;45;20;0.50;160;;200;SMPD (TO-263AC);Single;No;image/diodes\89989.png;Datasheet\diodes\V20DL45BP\V20DL45BP.pdf;Datasheet\diodes\V20DL45BP\V20DL45BP.zip
V20DL63C;Enlarge;60;2 x 10;0.49;120;;150;SMPD (TO-263AC);Common cathode;Yes;image/diodes\87572.png;Datasheet\diodes\V20DL63C\V20DL63C.pdf;None
