Series;Product Image;Configuration;Package;Ch;VDS(V);VGS(V);RDS(on)@1.2V(Ω);RDS(on)1.5V(Ω);RDS(on)@1.8V(Ω);RDS(on)@2.5V(Ω);RDS(on)@3V(Ω);RDS(on)@4.5V(Ω);RDS(on)@6V(Ω);RDS(on)@7.5V(Ω);RDS(on)@10V(Ω);Qg@4.5V(nC);Qg@10V(nC);Qgs(nC);Qgd(nC);IDMax.(A);PDMax.(W);VGS(th)Min.(V);RgTyp.(Ω);Image path;Datasheet part;3d model part
SiA400EDJ;;Single;PowerPAK SC-70;N;30;12;;;;0.025;;0.019;;;;11.6;24;2.9;2.2;12;19.2;0.6;3.3;image/mosfets/92442.png;Datasheet/mosfets/SiA400EDJ/SiA400EDJ.pdf;None
SiA413ADJ;Enlarge;Single;PowerPAK SC-70;P;-12;8;;0.1;0.044;0.034;;0.029;;;;23;;3;6.5;-12;19;-0.4;7;image/mosfets/92452.png;Datasheet/mosfets/SiA413ADJ/SiA413ADJ.pdf;Datasheet/mosfets/SiA413ADJ/SiA413ADJ.zip
SiA416DJ;;Single;PowerPAK SC-70;N;100;20;;;;;;0.13;;;0.083;3.5;6.5;1.2;1.9;11.3;19;1.6;1.8;image/mosfets/92143.png;Datasheet/mosfets/SiA416DJ/SiA416DJ.pdf;Datasheet/mosfets/SiA416DJ/SiA416DJ.zip
SiA421DJ;;Single;PowerPAK SC-70;P;-30;20;;;;;;0.056;;;0.035;10;19;3;4.5;12;19;1.5;6.5;image/mosfets/92533.png;Datasheet/mosfets/SiA421DJ/SiA421DJ.pdf;Datasheet/mosfets/SiA421DJ/SiA421DJ.zip
SiA4263DJ;Enlarge;Single;PowerPAK SC-70;P;-20;8;;;0.0511;0.03;;0.022;;;;19.8;;2.6;3;-12;15.6;-0.4;10.6;image/mosfets/92302.png;Datasheet/mosfets/SiA4263DJ/SiA4263DJ.pdf;None
SiA4265EDJ;Enlarge;Single;PowerPAK SC-70;P;-20;8;;;0.0675;0.041;;0.032;;;;13.8;;1.9;3;-9;15.6;-0.4;11;image/mosfets/92336.png;Datasheet/mosfets/SiA4265EDJ/SiA4265EDJ.pdf;None
SiA427ADJ;Enlarge;Single;PowerPAK SC-70;P;-8;5;0.095;0.032;0.026;0.0215;;0.016;;;;30;;3;6.6;-12;19;-0.35;9;image/mosfets/92030.png;Datasheet/mosfets/SiA427ADJ/SiA427ADJ.pdf;None
SiA429DJT;Enlarge;Single;Thin PowerPAK SC-70;P;-20;8;;0.06;0.036;0.027;;0.0205;;;;24.5;;2.4;6.7;-12;19;-0.4;6.3;image/mosfets/92198.png;Datasheet/mosfets/SiA429DJT/SiA429DJT.pdf;None
SiA430DJT;Enlarge;Single;Thin PowerPAK SC-70;N;20;20;;;;;;0.0185;;;0.0135;5.3;12;2;1.4;12;19.2;1;2.5;image/mosfets/92311.png;Datasheet/mosfets/SiA430DJT/SiA430DJT.pdf;None
SiA431DJ;Enlarge;Single;PowerPAK SC-70;P;-20;8;;0.07;0.041;0.031;;0.025;;;;24;;2.4;6.5;-12;19;-0.4;6.3;image/mosfets/92530.png;Datasheet/mosfets/SiA431DJ/SiA431DJ.pdf;None
SiA432DJ;;Single;PowerPAK SC-70;N;30;20;;;;;;0.024;;;0.02;5.6;13;2;1.4;12;19.2;1;3;image/mosfets/91632.png;Datasheet/mosfets/SiA432DJ/SiA432DJ.pdf;None
SiA433EDJ;Enlarge;Single;PowerPAK SC-70;P;-20;12;;;0.065;0.026;;0.018;;;;20;;3.3;8.4;-12;19;-0.5;1000;image/mosfets/91486.png;Datasheet/mosfets/SiA433EDJ/SiA433EDJ.pdf;None
SiA436DJ;Enlarge;Single;PowerPAK SC-70;N;8;5;0.036;0.018;0.0125;0.0105;;0.0094;;;;15;;1.7;0.9;12;19;0.35;2.5;image/mosfets/91556.png;Datasheet/mosfets/SiA436DJ/SiA436DJ.pdf;None
SiA4371EDJ;Enlarge;Single;PowerPAK SC-70;P;-30;12;;;;;;0.053;;;0.045;10.6;22.8;1.7;2.6;-9;15.6;-0.6;11;image/mosfets/92496.png;Datasheet/mosfets/SiA4371EDJ/SiA4371EDJ.pdf;None
SiA437DJ;Enlarge;Single;PowerPAK SC-70;P;-20;8;;0.065;0.033;0.0205;;0.0145;;;;28;;4.2;6.8;29.7;19;0.4;8;image/mosfets/92507.png;Datasheet/mosfets/SiA437DJ/SiA437DJ.pdf;Datasheet/mosfets/SiA437DJ/SiA437DJ.zip
SiA440DJ;;Single;PowerPAK SC-70;N;40;12;;;;0.035;;0.028;;;0.026;6.9;14.3;1.4;2;12;19;0.6;1;image/mosfets/91630.png;Datasheet/mosfets/SiA440DJ/SiA440DJ.pdf;Datasheet/mosfets/SiA440DJ/SiA440DJ.zip
SiA441DJ;Enlarge;;;;;;;;;;;;;;;;;;;;;;;image/mosfets/91485.png;Datasheet/mosfets/SiA441DJ/SiA441DJ.pdf;Datasheet/mosfets/SiA441DJ/SiA441DJ.zip
SiA4446DJ;Enlarge;Single;PowerPAK SC-70;N;40;20;;;;;;0.015;;;0.011;5.9;12.6;3;1.2;31;19.2;1.1;2.5;image/mosfets/91536.png;Datasheet/mosfets/SiA4446DJ/SiA4446DJ.pdf;None
SiA445EDJ;Enlarge;Single;PowerPAK SC-70;P;-20;12;;;;0.03;;0.0165;;;;23;48;3.1;6.7;-12;19;-0.5;6;image/mosfets/92353.png;Datasheet/mosfets/SiA445EDJ/SiA445EDJ.pdf;None
SiA445EDJT;Enlarge;Single;Thin PowerPAK SC-70;P;-20;12;;;;0.031;;0.0167;;;;22;46;3.7;5.9;12;19;0.5;6;image/mosfets/92340.png;Datasheet/mosfets/SiA445EDJT/SiA445EDJT.pdf;None
SiA446DJ;Enlarge;Single;PowerPAK SC-70;N;150;20;;;;;;;0.25;0.185;0.177;;5.3;1.2;1.8;7.7;19;2.5;2.3;image/mosfets/92031.png;Datasheet/mosfets/SiA446DJ/SiA446DJ.pdf;Datasheet/mosfets/SiA446DJ/SiA446DJ.zip
SiA447DJ;Enlarge;Single;PowerPAK SC-70;P;-12;8;;0.071;0.0344;0.0194;;0.0135;;;;31;;4.2;7.8;-12;19;-0.4;4.3;image/mosfets/92104.png;Datasheet/mosfets/SiA447DJ/SiA447DJ.pdf;None
SiA449DJ;;Single;PowerPAK SC-70;P;-30;12;;;;0.038;;0.024;;;0.02;23.1;48;2.5;6.2;12;19;0.6;3.3;image/mosfets/92332.png;Datasheet/mosfets/SiA449DJ/SiA449DJ.pdf;Datasheet/mosfets/SiA449DJ/SiA449DJ.zip
SiA456DJ;Enlarge;Single;PowerPAK SC-70;N;200;16;;;3.5;1.5;;1.38;;;;5;9.5;0.7;1.7;2.6;19;0.6;2;image/mosfets/91648.png;Datasheet/mosfets/SiA456DJ/SiA456DJ.pdf;None
SiA459EDJ;;Single;PowerPAK SC-70;P;-20;12;;;;0.062;;0.035;;;;10;20;1.6;2.9;9;15.6;0.6;11;image/mosfets/92558.png;Datasheet/mosfets/SiA459EDJ/SiA459EDJ.pdf;None
SiA461DJ;Enlarge;Single;PowerPAK SC-70;P;-20;8;;;0.055;0.042;;0.033;;;;18;;2.1;4.8;-12;17.9;-0.4;6;image/mosfets/91634.png;Datasheet/mosfets/SiA461DJ/SiA461DJ.pdf;None
SiA462DJ;Enlarge;Single;PowerPAK SC-70;N;30;20;;;;;;0.022;0.02;;0.018;5;11;1.7;1.6;12;19;1.2;1;image/mosfets/91596.png;Datasheet/mosfets/SiA462DJ/SiA462DJ.pdf;Datasheet/mosfets/SiA462DJ/SiA462DJ.zip
SiA466EDJ;Enlarge;Single;PowerPAK SC-70;N;20;20;;;;;;0.013;0.0111;;0.0095;6.3;13;1.6;2.1;25;19.2;1;0.9;image/mosfets/91606.png;Datasheet/mosfets/SiA466EDJ/SiA466EDJ.pdf;None
SiA468DJ;Enlarge;Single;PowerPAK SC-70;N;30;20;;;;;;0.0114;;;0.0084;8.2;17.6;3.1;1.3;37.8;19;1;1.4;image/mosfets/92344.png;Datasheet/mosfets/SiA468DJ/SiA468DJ.pdf;Datasheet/mosfets/SiA468DJ/SiA468DJ.zip
SiA469DJ;Enlarge;Single;PowerPAK SC-70;P;-30;20;;;;;;0.04;;;0.0265;10;21;2.3;3.6;-12;15.6;-1;9;image/mosfets/91922.png;Datasheet/mosfets/SiA469DJ/SiA469DJ.pdf;Datasheet/mosfets/SiA469DJ/SiA469DJ.zip
SiA471DJ;Enlarge;Single;PowerPAK SC-70;P;-30;-20;;;;;;0.0241;;;0.014;8.9;18.5;4.4;2.7;-30.3;19.2;-1;11;image/mosfets/91472.png;Datasheet/mosfets/SiA471DJ/SiA471DJ.pdf;None
SiA477EDJT;Enlarge;Single;Thin PowerPAK SC-70-6L;P;-12;8;;;0.032;0.019;;0.013;;;;33;55;4.3;8.9;-12;19;-0.4;6;image/mosfets/92245.png;Datasheet/mosfets/SiA477EDJT/SiA477EDJT.pdf;None
SiA483ADJ;Enlarge;Single;PowerPAK SC-70;P;-30;-20;;;;;;0.033;;;0.02;8.3;17;3.7;3;-12;17.9;-1;8.8;image/mosfets/91640.png;Datasheet/mosfets/SiA483ADJ/SiA483ADJ.pdf;None
SiA483DJ;Enlarge;Single;PowerPAK SC-70;P;-30;20;;;;;;0.03;;;0.021;14;29;4.4;4.8;-12;19;-1;3.7;image/mosfets/91538.png;Datasheet/mosfets/SiA483DJ/SiA483DJ.pdf;None
SiA517DJ;;N&P PAIR;PowerPAK SC-70;P;-12;8;;0.17;0.115;0.081;;0.061;;;;8.2;;1.2;2.8;4.5;6.5;0.4;10;image/mosfets/91552.png;Datasheet/mosfets/SiA517DJ/SiA517DJ.pdf;Datasheet/mosfets/SiA517DJ/SiA517DJ.zip
SiA517DJ;;N&P PAIR;PowerPAK SC-70;N;12;8;;0.065;0.044;0.034;;0.029;;;;5.6;;0.72;0.74;4.5;6.5;0.4;3.5;image/mosfets/91477.png;Datasheet/mosfets/SiA517DJ/SiA517DJ.pdf;Datasheet/mosfets/SiA517DJ/SiA517DJ.zip
SiA519EDJ;;N&P PAIR;PowerPAK SC-70;N;20;12;;;;0.065;;0.04;;;;3.7;7.7;0.85;0.95;4.5;7.8;0.6;3.5;image/mosfets/91609.png;Datasheet/mosfets/SiA519EDJ/SiA519EDJ.pdf;None
SiA519EDJ;;N&P PAIR;PowerPAK SC-70;P;-20;12;;;;0.137;;0.09;;;;5.3;10.5;0.75;2;4.5;7.8;0.5;10;image/mosfets/92368.png;Datasheet/mosfets/SiA519EDJ/SiA519EDJ.pdf;None
SiA527DJ;;N&P PAIR;PowerPAK SC-70;N;12;8;;0.065;0.044;0.034;;0.029;;;;5.6;;0.72;0.74;4.5;7.8;0.4;3.5;image/mosfets/91646.png;Datasheet/mosfets/SiA527DJ/SiA527DJ.pdf;None
SiA527DJ;;N&P PAIR;PowerPAK SC-70;P;-12;8;;0.174;0.11;0.06;;0.041;;;;10.5;;2.3;2.5;4.5;7.8;0.4;5.5;image/mosfets/91601.png;Datasheet/mosfets/SiA527DJ/SiA527DJ.pdf;None
SiA533EDJ;Enlarge;N- and p-pair;PowerPAK SC-70;P;-12;8;;0.215;0.115;0.081;;0.059;;;;7.8;13;1.3;2.3;-4.5;7.8;-0.4;7;image/mosfets/91453.png;Datasheet/mosfets/SiA533EDJ/SiA533EDJ.pdf;Datasheet/mosfets/SiA533EDJ/SiA533EDJ.zip
SiA533EDJ;Enlarge;N- and p-pair;PowerPAK SC-70;N;12;8;;0.07;0.05;0.04;;0.034;;;;5.6;10;0.7;0.85;4.5;7.8;0.4;3.5;image/mosfets/91524.png;Datasheet/mosfets/SiA533EDJ/SiA533EDJ.pdf;Datasheet/mosfets/SiA533EDJ/SiA533EDJ.zip
SiA537EDJ;Enlarge;N- and p-pair;PowerPAK SC-70;N;12;8;;0.165;0.042;0.033;;0.028;;;;6.2;;0.8;1.6;4.5;7.8;0.4;4;image/mosfets/91593.png;Datasheet/mosfets/SiA537EDJ/SiA537EDJ.pdf;Datasheet/mosfets/SiA537EDJ/SiA537EDJ.zip
SiA537EDJ;Enlarge;N- and p-pair;PowerPAK SC-70;P;-20;8;;0.165;0.104;0.07;;0.054;;;;6.2;;1.4;2.3;-4.5;7.8;-0.4;5.1;image/mosfets/91581.png;Datasheet/mosfets/SiA537EDJ/SiA537EDJ.pdf;Datasheet/mosfets/SiA537EDJ/SiA537EDJ.zip
SiA811ADJ;Enlarge;Dual plus integrated Schottky;PowerPAK SC-70;P;-20;8;;;;;;;;;;;;0.75;1.2;-4.5;6.5;-0.4;6;image/mosfets/92108.png;Datasheet/mosfets/SiA811ADJ/SiA811ADJ.pdf;Datasheet/mosfets/SiA811ADJ/SiA811ADJ.zip
SiA817EDJ;Enlarge;Dual plus integrated Schottky;PowerPAK SC-70;P;-30;12;;;;0.125;;0.08;;;0.065;6.6;14;1.3;2;-4.5;6.5;-0.6;5.5;image/mosfets/92034.png;Datasheet/mosfets/SiA817EDJ/SiA817EDJ.pdf;None
SiA906EDJ;Enlarge;Dual;PowerPAK SC-70;N;20;12;;;;0.063;;0.046;;;;3.5;7.5;0.95;0.75;4.5;7.8;0.6;3.5;image/mosfets/92405.png;Datasheet/mosfets/SiA906EDJ/SiA906EDJ.pdf;Datasheet/mosfets/SiA906EDJ/SiA906EDJ.zip
SiA910EDJ;;DUAL;PowerPAK SC-70;N;12;8;;;0.042;0.033;;0.028;;;;6.2;;0.8;1.6;4.5;7.8;0.4;4;image/mosfets/91544.png;Datasheet/mosfets/SiA910EDJ/SiA910EDJ.pdf;None
SiA918EDJ;Enlarge;DUAL;PowerPAK SC-70;N;30;8;;;0.077;0.065;;0.058;;;;3.6;;0.45;0.53;4.5;7.8;0.4;4.3;image/mosfets/92445.png;Datasheet/mosfets/SiA918EDJ/SiA918EDJ.pdf;Datasheet/mosfets/SiA918EDJ/SiA918EDJ.zip
SiA921EDJ;;DUAL;PowerPAK SC-70;P;-20;12;;;;0.098;;0.059;;;;7.1;15;1.3;2.1;4.5;7.8;0.5;6.3;image/mosfets/92029.png;Datasheet/mosfets/SiA921EDJ/SiA921EDJ.pdf;None
SiA923AEDJ;Enlarge;Dual;PowerPAK SC-70-6L;P;-20;8;;0.165;0.104;0.07;;0.054;;;;9.5;;1.4;2.3;-4.5;7.8;-0.4;5.1;image/mosfets/92337.png;Datasheet/mosfets/SiA923AEDJ/SiA923AEDJ.pdf;Datasheet/mosfets/SiA923AEDJ/SiA923AEDJ.zip
SiA928DJ;Enlarge;Dual;PowerPAK SC-70;N;30;20;;;;;;0.033;0.029;;0.025;3;6.6;1.4;0.5;4.5;7.8;1.2;4.6;image/mosfets/91636.png;Datasheet/mosfets/SiA928DJ/SiA928DJ.pdf;Datasheet/mosfets/SiA928DJ/SiA928DJ.zip
SiA929DJ;Enlarge;Dual;PowerPAK SC-70;P;-30;12;;;;0.12;;0.078;;;0.064;6.6;14;1.2;1.9;-4.5;7.8;-0.6;5.5;image/mosfets/91663.png;Datasheet/mosfets/SiA929DJ/SiA929DJ.pdf;Datasheet/mosfets/SiA929DJ/SiA929DJ.zip
SiA931DJ;Enlarge;Dual;PowerPAK SC-70;P;-30;20;;;;;;0.1;0.08;;0.065;4.1;8.5;1.2;1.5;-4.5;7.8;-1.2;5.5;image/mosfets/92132.png;Datasheet/mosfets/SiA931DJ/SiA931DJ.pdf;Datasheet/mosfets/SiA931DJ/SiA931DJ.zip
SiA938DJT;Enlarge;Dual;PowerPAK SC-70;N;20;12;;;;0.048;;0.0245;;;0.0215;3.5;7.6;1.2;0.63;4.5;7.8;0.6;2.8;image/mosfets/92260.png;Datasheet/mosfets/SiA938DJT/SiA938DJT.pdf;None
SiA975DJ;Enlarge;Dual;PowerPAK SC-70;P;-12;8;;;0.11;0.06;;0.041;;;;10.5;;2.3;2.5;-4.5;7.8;-0.4;5.5;image/mosfets/92125.png;Datasheet/mosfets/SiA975DJ/SiA975DJ.pdf;Datasheet/mosfets/SiA975DJ/SiA975DJ.zip
SiAA00DJ;Enlarge;Single;PowerPAK SC-70;N;25;16;;;;;;0.0075;;;0.0056;7.4;15.7;3;1.6;40;19.2;1;1.25;image/mosfets/92100.png;Datasheet/mosfets/SiAA00DJ/SiAA00DJ.pdf;None
SiAA02DJ;Enlarge;Single;PowerPAK SC-70;N;20;12;;;;0.0162;;0.0059;;;0.0047;10.2;22;3.2;2.6;52;19;0.6;1.2;image/mosfets/92549.png;Datasheet/mosfets/SiAA02DJ/SiAA02DJ.pdf;None
SiAA40DJ;Enlarge;Single;PowerPAK SC-70;N;40;20;;;;;;0.016;;;0.0125;7.7;16;3.2;1.8;30;19.2;1;1.9;image/mosfets/92238.png;Datasheet/mosfets/SiAA40DJ/SiAA40DJ.pdf;None
SiB406EDK;Enlarge;Single;PowerPAK SC-75;N;20;12;;;;0.063;;0.046;;;;3.5;7.5;0.95;0.75;6;10;0.6;3.5;image/mosfets/91987.png;Datasheet/mosfets/SiB406EDK/SiB406EDK.pdf;Datasheet/mosfets/SiB406EDK/SiB406EDK.zip
SiB4122DK;Enlarge;Single;PowerPAK SC-75;N;100;20;;;;;;;;0.167;0.16;;3.8;1.3;0.6;5.9;12.5;2;1.5;image/mosfets/92019.png;Datasheet/mosfets/SiB4122DK/SiB4122DK.pdf;None
SiB422EDK;Enlarge;Single;PowerPAK SC-75;N;20;8;;0.082;0.057;0.041;;0.03;;;;6;;0.8;1.6;9;13;0.4;2300;image/mosfets/92374.png;Datasheet/mosfets/SiB422EDK/SiB422EDK.pdf;None
SiB4316EDK;Enlarge;Single;PowerPAK SC-75;N;;;;;;;;;;;;;;;;;;;;image/mosfets/92273.png;Datasheet/mosfets/SiB4316EDK/SiB4316EDK.pdf;Datasheet/mosfets/SiB4316EDK/SiB4316EDK.zip
SiB4317EDK;Enlarge;Single;PowerPAK SC-75;P;-30;12;;;;0.125;;0.08;;;0.065;6.6;14;1.3;2;-4.5;10;-0.6;5.5;image/mosfets/91558.png;Datasheet/mosfets/SiB4317EDK/SiB4317EDK.pdf;Datasheet/mosfets/SiB4317EDK/SiB4317EDK.zip
SiB433EDK;;Single;PowerPAK SC-75;P;-20;8;;;0.105;0.077;;0.058;;;;7.6;;0.8;3.1;9;13;0.4;2000;image/mosfets/91546.png;Datasheet/mosfets/SiB433EDK/SiB433EDK.pdf;None
SiB441EDK;Enlarge;Single;PowerPAK SC-75;P;-12;8;;0.115;0.06;0.036;;0.0255;;;;13.4;;1.6;3.4;-9;13;-0.4;11;image/mosfets/92292.png;Datasheet/mosfets/SiB441EDK/SiB441EDK.pdf;Datasheet/mosfets/SiB441EDK/SiB441EDK.zip
SiB452DK;Enlarge;Single;PowerPAK SC-75;N;190;16;;;6;2.6;;2.4;;;;2.3;4.3;0.4;1;1.5;13;0.6;2.2;image/mosfets/92010.png;Datasheet/mosfets/SiB452DK/SiB452DK.pdf;Datasheet/mosfets/SiB452DK/SiB452DK.zip
SiB456DK;Enlarge;Single;PowerPAK SC-75;N;100;20;;;;;;0.31;;;0.185;1.8;3.3;0.7;1;6.3;13;1.6;6.5;image/mosfets/91510.png;Datasheet/mosfets/SiB456DK/SiB456DK.pdf;Datasheet/mosfets/SiB456DK/SiB456DK.zip
SiB457EDK;;Single;PowerPAK SC-75;P;-20;8;;0.157;0.079;0.049;;0.035;;;;13;22;1.2;3;9;13;0.4;1400;image/mosfets/91967.png;Datasheet/mosfets/SiB457EDK/SiB457EDK.pdf;Datasheet/mosfets/SiB457EDK/SiB457EDK.zip
SiB912DK;Enlarge;Dual;PowerPAK SC-75;N;20;8;;;0.375;0.268;;0.216;;;;1.2;;0.3;0.15;1.5;3.1;0.4;2.5;image/mosfets/92137.png;Datasheet/mosfets/SiB912DK/SiB912DK.pdf;None
SiDR104ADP;Enlarge;Single;PowerPAK SO-8DC;N;100;20;;;;;;;;0.0072;0.0061;;46.1;15.4;7.1;81;100;2;0.9;image/mosfets/92309.png;Datasheet/mosfets/SiDR104ADP/SiDR104ADP.pdf;None
SiDR104AEP;Enlarge;Single;PowerPAK SO-8DC;N;100;20;;;;;;;;0.0072;0.0061;;46.1;15.4;7.1;90.5;120;2;0.9;image/mosfets/92498.png;Datasheet/mosfets/SiDR104AEP/SiDR104AEP.pdf;None
SiDR140DP;Enlarge;Single;PowerPAK SO-8DC;N;25;20;;;;;;0.0009;;;0.00067;52.8;113;17.6;10.7;100;125;1;0.38;image/mosfets/92378.png;Datasheet/mosfets/SiDR140DP/SiDR140DP.pdf;None
SiDR170DP;Enlarge;Single;PowerPAK SO-8DC;N;100;20;;;;;;0.00585;;;0.0048;42;93;17;8.7;95;125;1;0.9;image/mosfets/92497.png;Datasheet/mosfets/SiDR170DP/SiDR170DP.pdf;None
SiDR220DP;Enlarge;Single;PowerPAK SO-8DC;N;25;16;;;;;;0.00082;;;0.00058;61;134;24;9.2;100;125;1;0.38;image/mosfets/91481.png;Datasheet/mosfets/SiDR220DP/SiDR220DP.pdf;Datasheet/mosfets/SiDR220DP/SiDR220DP.zip
SiDR220EP;Enlarge;Single;PowerPAK SO-8DC;N;25;16;;;;;;0.00082;;;0.00058;61;134;24;9.2;415;150;1;0.38;image/mosfets/91555.png;Datasheet/mosfets/SiDR220EP/SiDR220EP.pdf;None
SiDR390DP;Enlarge;Single;PowerPAK SO-8DC;N;30;20;;;;;;0.00115;;;0.0008;48;102;22;4.7;100;125;0.8;1.3;image/mosfets/91480.png;Datasheet/mosfets/SiDR390DP/SiDR390DP.pdf;Datasheet/mosfets/SiDR390DP/SiDR390DP.zip
SiDR402DP;;Single;PowerPAK SO-8DC;N;40;20;;;;;;0.00116;;;0.00088;53;110;22.5;9.5;100;125;1.1;0.88;image/mosfets/91531.png;Datasheet/mosfets/SiDR402DP/SiDR402DP.pdf;Datasheet/mosfets/SiDR402DP/SiDR402DP.zip
SiDR402EP;;Single;PowerPAK SO-8DC;N;40;20;;;;;;0.00116;;;0.00088;53;110;22.5;9.5;291;150;1.1;0.88;image/mosfets/91471.png;Datasheet/mosfets/SiDR402EP/SiDR402EP.pdf;None
SiDR500EP;Enlarge;Single;PowerPAK SO-8DC;N;30;16;;;;;;0.00068;;;0.00047;54.3;120;25.6;8.7;421;150;1;0.9;image/mosfets/91537.png;Datasheet/mosfets/SiDR500EP/SiDR500EP.pdf;Datasheet/mosfets/SiDR500EP/SiDR500EP.zip
SiDR5102EP;Enlarge;Single;PowerPAK SO-8DC;N;100;20;;;;;;;;0.0056;0.0041;;33.7;15.7;1.7;126;150;2;1.15;image/mosfets/91553.png;Datasheet/mosfets/SiDR5102EP/SiDR5102EP.pdf;None
SiDR510EP;Enlarge;Single;PowerPAK SO-8DC;N;100;20;;;;;;;;0.0042;0.0036;;54;23.3;3;148;150;2;1.15;image/mosfets/91604.png;Datasheet/mosfets/SiDR510EP/SiDR510EP.pdf;Datasheet/mosfets/SiDR510EP/SiDR510EP.zip
SiDR570EP;Enlarge;Single;PowerPAK SO-8DC;N;150;20;;;;;;;;0.0085;0.0079;;46.9;18.1;4.2;90.9;150;2;1.1;image/mosfets/91454.png;Datasheet/mosfets/SiDR570EP/SiDR570EP.pdf;None
SiDR578EP;Enlarge;Single;PowerPAK SO-8DC;N;150;20;;;;;;;;0.01;0.0088;;32.5;15.3;3.1;78;150;2;1.35;image/mosfets/91582.png;Datasheet/mosfets/SiDR578EP/SiDR578EP.pdf;Datasheet/mosfets/SiDR578EP/SiDR578EP.zip
SiDR5802EP;Enlarge;Single;PowerPAK SO-8DC;N;80;20;;;;;;;;0.004;0.0029;;37.3;16.5;3.2;153;150;2;1.1;image/mosfets/92110.png;Datasheet/mosfets/SiDR5802EP/SiDR5802EP.pdf;None
SiDR608DP;;Single;PowerPAK SO-8DC;N;45;20;;;;;;0.0018;;;0.0012;50.5;111;26;7.8;208;104;1.1;0.88;image/mosfets/91547.png;Datasheet/mosfets/SiDR608DP/SiDR608DP.pdf;Datasheet/mosfets/SiDR608DP/SiDR608DP.zip
SiDR608EP;;Single;PowerPAK SO-8DC;N;45;20;;;;;;0.0018;;;0.0012;50.5;111;26;7.8;228;125;1.1;0.88;image/mosfets/91509.png;Datasheet/mosfets/SiDR608EP/SiDR608EP.pdf;None
SiDR610DP;Enlarge;Single;PowerPAK SO-8DC;N;200;20;;;;;;;;0.0334;0.0319;;25;6.4;6.8;39.6;125;2;2.1;image/mosfets/91389.png;Datasheet/mosfets/SiDR610DP/SiDR610DP.pdf;None
SiDR610EP;Enlarge;Single;PowerPAK SO-8DC;N;200;20;;;;;;;;0.0334;0.0319;;25;6.4;6.8;39.6;150;2;2.1;image/mosfets/91258.png;Datasheet/mosfets/SiDR610EP/SiDR610EP.pdf;Datasheet/mosfets/SiDR610EP/SiDR610EP.zip
SiDR622DP;;;;;;;;;;;;;;;;;;;;;;;;image/mosfets/92135.png;Datasheet/mosfets/SiDR622DP/SiDR622DP.pdf;None
SiDR626EP;Enlarge;Single;PowerPAK SO-8DC;N;60;20;;;;;;;;0.0021;0.00174;;68;25;7.4;227;150;2;0.62;image/mosfets/92399.png;Datasheet/mosfets/SiDR626EP/SiDR626EP.pdf;None
SiDR626LDP;Enlarge;Single;PowerPAK SO-8DC;N;60;20;;;;;;0.0021;;;0.0015;41;89;17.4;10.8;204;125;1;0.88;image/mosfets/92136.png;Datasheet/mosfets/SiDR626LDP/SiDR626LDP.pdf;Datasheet/mosfets/SiDR626LDP/SiDR626LDP.zip
SiDR626LEP;Enlarge;Single;PowerPAK SO-8DC;N;60;20;;;;;;0.0021;;;0.0015;41;89;17.4;10.8;218;150;1;0.88;image/mosfets/92209.png;Datasheet/mosfets/SiDR626LEP/SiDR626LEP.pdf;Datasheet/mosfets/SiDR626LEP/SiDR626LEP.zip
SiDR668ADP;Enlarge;Single;PowerPAK SO-8DC;N;100;20;;;;;;;;0.007;0.0048;;54;17.5;11.4;104;125;2;0.9;image/mosfets/92090.png;Datasheet/mosfets/SiDR668ADP/SiDR668ADP.pdf;None
SiDR668DP;Enlarge;Single;PowerPAK SO-8DC;N;100;20;;;;;;;;0.00505;0.0048;;72;21.6;12;95;125;2;0.9;image/mosfets/92297.png;Datasheet/mosfets/SiDR668DP/SiDR668DP.pdf;None
SiDR680ADP;Enlarge;Single;PowerPAK SO-8DC;N;80;20;;;;;;;;0.0035;0.00288;;55;17;10;137;125;2;0.88;image/mosfets/92036.png;Datasheet/mosfets/SiDR680ADP/SiDR680ADP.pdf;None
SiDR870ADP;Enlarge;;;;;;;;;;;;;;;;;;;;;;;image/mosfets/92308.png;Datasheet/mosfets/SiDR870ADP/SiDR870ADP.pdf;None
SiEH4800EW;Enlarge;Single;"PowerPAK&#174; 8 x 8 BWL";N;80;20;;;;;;;;0.00135;0.00115;;185;51;24;381;417;2;1.2;image/mosfets/92375.png;Datasheet/mosfets/SiEH4800EW/SiEH4800EW.pdf;None
SiHA100N60E;Enlarge;Single;Thin-Lead TO-220 FULLPAK;N;600;30;;;;;;;;;0.1;;33;13;10;12;35;3;0.7;image/mosfets/92448.png;Datasheet/mosfets/SiHA100N60E/SiHA100N60E.pdf;Datasheet/mosfets/SiHA100N60E/SiHA100N60E.zip
SiHA105N60EF;Enlarge;Single;Thin-Lead TO-220 FULLPAK;N;600;30;;;;;;;;;0.102;;35;12;11;12;35;3;0.7;image/mosfets/92144.png;Datasheet/mosfets/SiHA105N60EF/SiHA105N60EF.pdf;None
SiHA11N80AE;Enlarge;Single;Thin-Lead TO-220 FULLPAK;N;800;30;;;;;;;;;0.45;;28;6;12;8;31;2;1.5;image/mosfets/92300.png;Datasheet/mosfets/SiHA11N80AE/SiHA11N80AE.pdf;None
