Series;Product Image;Configuration;Package;Ch;VDS(V);VGS(V);RDS(on)@1.2V(Ω);RDS(on)1.5V(Ω);RDS(on)@1.8V(Ω);RDS(on)@2.5V(Ω);RDS(on)@3V(Ω);RDS(on)@4.5V(Ω);RDS(on)@6V(Ω);RDS(on)@7.5V(Ω);RDS(on)@10V(Ω);Qg@4.5V(nC);Qg@10V(nC);Qgs(nC);Qgd(nC);IDMax.(A);PDMax.(W);VGS(th)Min.(V);RgTyp.(Ω);Image path;Datasheet part;3d model part
SiR4406DP;;Single;PowerPAK SO-8;N;40;20;;;;;;0.0067;;;0.00475;10.9;23.7;5.3;1.9;78;41.6;1.1;2.8;image/mosfets/62898.png;Datasheet/mosfets/SiR4406DP/SiR4406DP.pdf;None
SiR4409DP;Enlarge;Single;PowerPAK SO-8;P;-40;20;;;;;;0.012;;;0.009;38.1;84;14;12.2;-60.6;59.5;-1;2.2;image/mosfets/76567.png;Datasheet/mosfets/SiR4409DP/SiR4409DP.pdf;Datasheet/mosfets/SiR4409DP/SiR4409DP.zip
SiR440DP;Enlarge;Single;PowerPAK SO-8;N;20;20;;;;;;0.002;;;0.00155;43.5;100;13.5;12.5;60;104;1;1;image/mosfets/76062.png;Datasheet/mosfets/SiR440DP/SiR440DP.pdf;None
SiR4411DP;;Single;PowerPAK SO-8;P;-40;20;;;;;;0.015;;;0.011;36.5;79;11.5;12.3;-48.3;56.8;-1;1.9;image/mosfets/75285.png;Datasheet/mosfets/SiR4411DP/SiR4411DP.pdf;Datasheet/mosfets/SiR4411DP/SiR4411DP.zip
SiR450DP;;Single;PowerPAK SO-8;N;45;20;;;;;;0.00255;;;0.0018;34;75.5;17;4.5;113;48;1;1.2;image/mosfets/62944.png;Datasheet/mosfets/SiR450DP/SiR450DP.pdf;Datasheet/mosfets/SiR450DP/SiR450DP.zip
SiR4602LDP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;0.0125;;;0.0088;9;19.1;4.4;2.6;52.1;43;1;0.9;image/mosfets/62220.png;Datasheet/mosfets/SiR4602LDP/SiR4602LDP.pdf;None
SiR4604DP;;Single;PowerPAK SO-8;N;60;20;;;;;;;;0.0124;0.0095;;14.5;4.85;2.6;49.3;41.6;2;0.8;image/mosfets/75573.png;Datasheet/mosfets/SiR4604DP/SiR4604DP.pdf;None
SiR4604LDP;;Single;PowerPAK SO-8;N;60;20;;;;;;0.0124;;;0.0089;8.5;18.3;4;2.3;51;41.6;1;0.8;image/mosfets/76933.png;Datasheet/mosfets/SiR4604LDP/SiR4604LDP.pdf;None
SiR4606DP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;;;0.0225;0.0185;;8.9;2.5;1.8;16;31.2;2;1.3;image/mosfets/77230.png;Datasheet/mosfets/SiR4606DP/SiR4606DP.pdf;None
SiR4608DP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;;;0.015;0.0118;;11.7;4.2;1.9;42.8;39;2;1.5;image/mosfets/77407.png;Datasheet/mosfets/SiR4608DP/SiR4608DP.pdf;None
SiR4608LDP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;0.0153;;;0.0115;7;15;3.1;1.95;43.4;39;1;1.5;image/mosfets/76915.png;Datasheet/mosfets/SiR4608LDP/SiR4608LDP.pdf;None
SiR462DP;;Single;PowerPAK SO-8;N;30;20;;;;;;0.01;;;0.0079;8.8;20;3.5;2.2;30;41.7;1;1;image/mosfets/77305.png;Datasheet/mosfets/SiR462DP/SiR462DP.pdf;None
SiR466DP;Enlarge;Single;PowerPAK SO-8;N;30;20;;;;;;0.0051;;;0.0035;21.5;42.5;6.9;7.1;40;54;1.2;0.8;image/mosfets/62122.png;Datasheet/mosfets/SiR466DP/SiR466DP.pdf;None
SiR500DP;Enlarge;Single;PowerPAK SO-8;N;30;16;;;;;;0.00068;;;0.00047;54.3;120;25.6;8.7;350.8;104.1;1;0.9;image/mosfets/79358.png;Datasheet/mosfets/SiR500DP/SiR500DP.pdf;Datasheet/mosfets/SiR500DP/SiR500DP.zip
SiR5108DP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.0124;0.0105;;14.8;6.3;1.3;55.9;65.7;2;1;image/mosfets/79330.png;Datasheet/mosfets/SiR5108DP/SiR5108DP.pdf;None
