Part Number;Product Image;Package;VCEO(V);CTR Min.(1)%;CTR Max.(1)%;Forward Current IF(mA);ton/toff(µs);Operating Temperature(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
VO205AT, VO206AT, VO207AT, VO208AT;Enlarge;SOIC-8;70;40;320;10;3, 3;-40 to +100;4000;UL, cUL, VDE;image/optocouplers\81957.png;Datasheet\optocouplers\VO205AT, VO206AT, VO207AT, VO208AT\VO205AT, VO206AT, VO207AT, VO208AT.pdf;Datasheet\optocouplers\VO205AT, VO206AT, VO207AT, VO208AT\VO205AT, VO206AT, VO207AT, VO208AT.zip
VO215AT, VO216AT, VO217AT;Enlarge;SOIC-8;30;20;;;3, 3;-40 to +100;4000;UL, cUL, VDE;image/optocouplers\81955.png;Datasheet\optocouplers\VO215AT, VO216AT, VO217AT\VO215AT, VO216AT, VO217AT.pdf;None
VO610A;Enlarge;DIP-4;70;13;320;10;6, 5;-55 to +110;5000;UL, cUL, VDE, BSI;image/optocouplers\81775.png;Datasheet\optocouplers\VO610A\VO610A.pdf;Datasheet\optocouplers\VO610A\VO610A.zip
VO610A;Enlarge;SMD-4;70;13;320;10;6, 5;-55 to +110;5000;UL, cUL, VDE, BSI;image/optocouplers\81775.png;Datasheet\optocouplers\VO610A\VO610A.pdf;Datasheet\optocouplers\VO610A\VO610A.zip
VO610A;Enlarge;DIP-4, 400 mil;70;13;320;10;6, 5;-55 to +110;5000;UL, cUL, VDE, BSI;image/optocouplers\81775.png;Datasheet\optocouplers\VO610A\VO610A.pdf;Datasheet\optocouplers\VO610A\VO610A.zip
VO615A;Enlarge;DIP-4;70;13;600;5, 10;6, 5;-55 to +110;5000;BSI, VDE, FIMKO, UL, cUL, CQC;image/optocouplers\81753.png;Datasheet\optocouplers\VO615A\VO615A.pdf;Datasheet\optocouplers\VO615A\VO615A.zip
VO615A;Enlarge;DIP-4, 400 mil;70;13;600;5, 10;6, 5;-55 to +110;5000;BSI, VDE, FIMKO, UL, cUL, CQC;image/optocouplers\81753.png;Datasheet\optocouplers\VO615A\VO615A.pdf;Datasheet\optocouplers\VO615A\VO615A.zip
VO615A;Enlarge;SMD-4;70;13;600;5, 10;6, 5;-55 to +110;5000;BSI, VDE, FIMKO, UL, cUL, CQC;image/optocouplers\81753.png;Datasheet\optocouplers\VO615A\VO615A.pdf;Datasheet\optocouplers\VO615A\VO615A.zip
VO615C;Enlarge;DIP-4;80;40;320;10;6, 4;-55 to +110;5300;UL, cUL, VDE, FIMKO, CQC;image/optocouplers\83500.png;Datasheet\optocouplers\VO615C\VO615C.pdf;Datasheet\optocouplers\VO615C\VO615C.zip
VO615C;Enlarge;DIP-4, 400 mil;80;40;320;10;6, 4;-55 to +110;5300;UL, cUL, VDE, FIMKO, CQC;image/optocouplers\83500.png;Datasheet\optocouplers\VO615C\VO615C.pdf;Datasheet\optocouplers\VO615C\VO615C.zip
VO615C;Enlarge;SMD-4;80;40;320;10;6, 4;-55 to +110;5300;UL, cUL, VDE, FIMKO, CQC;image/optocouplers\83500.png;Datasheet\optocouplers\VO615C\VO615C.pdf;Datasheet\optocouplers\VO615C\VO615C.zip
VO617A;Enlarge;DIP-4;80;40;600;5;3, 2.3;-55 to +110;5300;UL, VDE, BSI, CQC, CQC, FIMKO;image/optocouplers\83430.png;Datasheet\optocouplers\VO617A\VO617A.pdf;Datasheet\optocouplers\VO617A\VO617A.zip
VO617A;Enlarge;DIP-4, 400 mil;80;40;600;5;3, 2.3;-55 to +110;5300;UL, VDE, BSI, CQC, CQC, FIMKO;image/optocouplers\83430.png;Datasheet\optocouplers\VO617A\VO617A.pdf;Datasheet\optocouplers\VO617A\VO617A.zip
VO617A;Enlarge;SMD-4;80;40;600;5;3, 2.3;-55 to +110;5300;UL, VDE, BSI, CQC, CQC, FIMKO;image/optocouplers\83430.png;Datasheet\optocouplers\VO617A\VO617A.pdf;Datasheet\optocouplers\VO617A\VO617A.zip
VO617C;Enlarge;DIP-4;80;40;320;5;6, 4;-55 to +110;5300;UL, cUL, VDE, FIMKO, CQC;image/optocouplers\83463.png;Datasheet\optocouplers\VO617C\VO617C.pdf;Datasheet\optocouplers\VO617C\VO617C.zip
VO617C;Enlarge;SMD-4;80;40;320;5;6, 4;-55 to +110;5300;UL, cUL, VDE, FIMKO, CQC;image/optocouplers\83463.png;Datasheet\optocouplers\VO617C\VO617C.pdf;Datasheet\optocouplers\VO617C\VO617C.zip
VO617C;Enlarge;DIP-4, 400 mil;80;40;320;5;6, 4;-55 to +110;5300;UL, cUL, VDE, FIMKO, CQC;image/optocouplers\83463.png;Datasheet\optocouplers\VO617C\VO617C.pdf;Datasheet\optocouplers\VO617C\VO617C.zip
VO618A;Enlarge;DIP-4;80;50;600;1;3, 2.3;-55 to +110;5300;UL, cUL, VDE, BSI, FIMKO;image/optocouplers\83432.png;Datasheet\optocouplers\VO618A\VO618A.pdf;Datasheet\optocouplers\VO618A\VO618A.zip
VO618A;Enlarge;SMD-4;80;50;600;1;3, 2.3;-55 to +110;5300;UL, cUL, VDE, BSI, FIMKO;image/optocouplers\83432.png;Datasheet\optocouplers\VO618A\VO618A.pdf;Datasheet\optocouplers\VO618A\VO618A.zip
VO618A;Enlarge;DIP-4, 400 mil;80;50;600;1;3, 2.3;-55 to +110;5300;UL, cUL, VDE, BSI, FIMKO;image/optocouplers\83432.png;Datasheet\optocouplers\VO618A\VO618A.pdf;Datasheet\optocouplers\VO618A\VO618A.zip
VOD205T, VOD206T, VOD207T, VOD211T, VOD213T, VOD217T;Enlarge;SOIC-8;70;13;200;10;5, 4;-40 to +100;4000;UL, cUL, VDE;image/optocouplers\81956.png;Datasheet\optocouplers\VOD205T, VOD206T, VOD207T, VOD211T, VOD213T, VOD217T\VOD205T, VOD206T, VOD207T, VOD211T, VOD213T, VOD217T.pdf;Datasheet\optocouplers\VOD205T, VOD206T, VOD207T, VOD211T, VOD213T, VOD217T\VOD205T, VOD206T, VOD207T, VOD211T, VOD213T, VOD217T.zip
VOL617A;Enlarge;4 pin LSOP;80;40;600;5;6, 5.5;-55 to +110;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\82424.png;Datasheet\optocouplers\VOL617A\VOL617A.pdf;None
VOL618A;Enlarge;4 pin LSOP;80;50;600;1;6, 5.5;-55 to +110;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\82405.png;Datasheet\optocouplers\VOL618A\VOL618A.pdf;None
VOM617A;Enlarge;SOP-4;80;50;600;5;6, 4;-55 to +110;3750;UL, cUL, VDE, CQC, FIMKO;image/optocouplers\83446.png;Datasheet\optocouplers\VOM617A\VOM617A.pdf;Datasheet\optocouplers\VOM617A\VOM617A.zip
VOM618A;Enlarge;SOP-4;80;40;600;1;7, 6;- 55 to + 110;3750;UL, cUL, VDE, FIMKO, CQC;image/optocouplers\83449.png;Datasheet\optocouplers\VOM618A\VOM618A.pdf;Datasheet\optocouplers\VOM618A\VOM618A.zip
VOMA617A;Enlarge;SOP-4;80;50;600;5;4.9, 3.3;-40 to +110;3750;UL, cUL, VDE, CQC;image/optocouplers\84433.png;Datasheet\optocouplers\VOMA617A\VOMA617A.pdf;Datasheet\optocouplers\VOMA617A\VOMA617A.zip
VOMA618A;Enlarge;SOP-4;80;50;600;1;6.8, 2.3;-40 to +110;3750;UL, cUL, VDE, CQC;image/optocouplers\84949.png;Datasheet\optocouplers\VOMA618A\VOMA618A.pdf;Datasheet\optocouplers\VOMA618A\VOMA618A.zip
VOS615A;Enlarge;SSOP-4;80;40;600;10;5, 5;- 55 to + 110;3750;UL, cUL, VDE, FIMKO, CQC;image/optocouplers\85373.png;Datasheet\optocouplers\VOS615A\VOS615A.pdf;Datasheet\optocouplers\VOS615A\VOS615A.zip
VOS617A;Enlarge;SSOP-4;80;50;600;5;6, 4;-55 to +110;3750;UL, cUL, VDE, FIMKO, CQC;image/optocouplers\83497.png;Datasheet\optocouplers\VOS617A\VOS617A.pdf;Datasheet\optocouplers\VOS617A\VOS617A.zip
VOS618A;Enlarge;SSOP-4;80;50;600;1;5, 8;-55 to +110;3750;UL, cUL, VDE, FIMKO, CQC;image/optocouplers\83465.png;Datasheet\optocouplers\VOS618A\VOS618A.pdf;Datasheet\optocouplers\VOS618A\VOS618A.zip
