Part Number;Product Image;Zero or Non-zero crossing;Package;Trigger Current IFTMax.(mA);Blocking Voltage VDRM(V);On-state Current(mA);Static dv / dt;Isolation Voltage VISOVRMS;Ambient Temperature Range(°C);Creepage Min.(mm);Working Voltage VIORM(Vpeak);Safety Standard;Image path;Datasheet part;3d model part
VO3062, VO3063;Enlarge;Zero;SMD-6;5 to 10;600;100;1500;4420;-55 to +100;7;890;UL, cUL, VDE;image/optocouplers/83748.png;Datasheet/optocouplers/opto-triac/VO3062, VO3063/VO3062, VO3063.pdf;Datasheet/optocouplers/opto-triac/VO3062, VO3063/VO3062, VO3063.zip
VO4158;Enlarge;Zero;DIP-6;1.6 to 3;800;300;5000;4420;-55 to +100;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/84634.png;Datasheet/optocouplers/opto-triac/VO4158/VO4158.pdf;Datasheet/optocouplers/opto-triac/VO4158/VO4158.zip
VO4158;Enlarge;Zero;SMD-6;1.6 to 3;800;300;5000;4420;-55 to +100;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/84634.png;Datasheet/optocouplers/opto-triac/VO4158/VO4158.pdf;Datasheet/optocouplers/opto-triac/VO4158/VO4158.zip
VOT8024AB, VOT8024AD, VOT8024AG;Enlarge;Zero;DIP-4;5;800;100;1000;5300;-55 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84919.png;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.pdf;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.zip
VOT8024AB, VOT8024AD, VOT8024AG;Enlarge;Zero;DIP-4, 400 mil;5;800;100;1000;5300;-55 to +110;8;1140;UL, cUL, VDE, CQC;image/optocouplers/84919.png;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.pdf;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.zip
VOT8024AB, VOT8024AD, VOT8024AG;Enlarge;Zero;SMD-4;5;800;100;1000;5300;-55 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84919.png;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.pdf;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.zip
VOT8024AB, VOT8024AD, VOT8024AG;Enlarge;Zero;SMD-4, 90° orientation;5;800;100;1000;5300;-55 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84919.png;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.pdf;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.zip
VOT8024AB, VOT8024AD, VOT8024AG;Enlarge;Zero;SMD-4, 180° orientation;5;800;100;1000;5300;-55 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84919.png;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.pdf;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.zip
VOT8024AB, VOT8024AD, VOT8024AG;Enlarge;Zero;SMD-4, 270° orientation;5;800;100;1000;5300;-55 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84919.png;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.pdf;Datasheet/optocouplers/opto-triac/VOT8024AB, VOT8024AD, VOT8024AG/VOT8024AB, VOT8024AD, VOT8024AG.zip
VOT8024AM;Enlarge;Zero;SOP-4;5;800;100;1000;3750;-55 to +110;5;565;UL, cUL, VDE;image/optocouplers/84909.png;Datasheet/optocouplers/opto-triac/VOT8024AM/VOT8024AM.pdf;Datasheet/optocouplers/opto-triac/VOT8024AM/VOT8024AM.zip
